,Brand,CPU Name,CPU Mark,GPU Name,GPU Mark,Monitor,Width,Height,RAM,Storage Amount,OS,Weight,Price
0,MSI,Intel Core i7 13620H,26454,GeForce RTX 4050 Laptop GPU,14691,15.6,1920,1080,16384,2097152,Windows 11,3.03,1529
1,Dell,Intel Core i9 12900,34306,GeForce RTX 4060,19560,15.6,1366,768,16384,4096000,Windows 11,3.64,2308.81
2,Dell,Intel Core i5 2310   2.90GHz,3642,Intel Arc,4253,14,1920,1080,8192,262144,Windows 10,1.23,614.99
3,Dell,Intel Core i7 1360P,19333,Intel Iris Xe,2690,16,1920,1200,24576,1048576,Windows 10,1.58,1079
4,Dell,Intel Core i7 13700H,28003,Intel Arc A730M,8274,15.6,1920,1200,32768,1048576,Windows 10,1.92,1907
5,Asus,AMD Ryzen 9 7945HX,55651,GeForce RTX 4070,26876,17.3,2560,1400,16384,1048576,Windows 11,2.68,1959.99
6,Lenovo,AMD Ryzen 9 6900HX,24887,GeForce RTX 3070,22459,16,2560,1600,16384,1048576,Windows 11,2.62,1499.99
7,Dell,Intel Core i5 3317U   1.70GHz,2010,GeForce RTX 3050,12961,15.6,1920,1080,16384,524288,Windows 11,2.55,1038.32
8,Core Innovations,Intel Celeron N3350   1.10GHz,1108,Intel HD Graphics 620,926,14.1,1366,768,3072,291840,Windows 10,1.59,99
9,Acer,AMD Ryzen 5 5625U,15084,GeForce RTX 3050,12961,15.6,1920,1080,8192,524288,Windows 10,2.14,729
10,LG,Intel Core i7 1260P,17229,Intel Iris Xe,2690,16,1280,800,16384,524288,Windows 11,1.18,1249
11,Acer,Intel Core i5 3317U   1.70GHz,2010,GeForce RTX 3050,12961,17.3,1920,1080,32768,1048576,Windows 11,3,989
12,HP,Intel Core i3 1215U,11027,Intel UHD Graphics,1476,15.6,1920,1080,16384,1048576,Windows 11,1.64,446.4
13,Asus,Intel Core i7 13700H,28003,GeForce RTX 4060,19560,16,1920,1200,16384,2097152,Windows 10,1.5,1619
14,Lenovo,Intel Celeron 7305,2385,Intel UHD Graphics 600,324,14,1366,768,4096,65536,Windows 11,1.36,307.62
15,Dell,Intel Core i7 1165G7   2.80GHz,10346,Intel Iris Xe,2690,15.6,1920,1080,65536,2097152,Windows 11,1.73,968.99
16,Samsung,Intel Core i3 10110U   2.10GHz,3919,Intel UHD Graphics,1476,13.3,1920,1080,16384,524288,ChromeOS,1.68,689.99
17,Dell,Intel Core i7 12800H,24971,Intel Arc,4253,13.3,1920,1080,16384,524288,Windows 10,1.14,599
19,Lenovo,Intel Core i7 12650H,23276,GeForce GTX 1660,11706,15.6,1920,1080,16384,1048576,Windows 10,2.46,999
20,Dell,Intel Core i7 12800H,24971,Intel UHD Graphics,1476,14,1920,1080,16384,262144,Windows 10,1.23,727.64
21,Dell,AMD Ryzen 7 3750H,8185,GeForce RTX 3060,17089,15.6,1920,1080,32768,1024000,Windows 11,3.64,2037.24
22,HP,Intel Core i3 1110G4   1.80GHz,4390,Intel UHD Graphics,1476,15.6,1920,1080,32768,2097152,Windows 11,3.41,759
23,HP,Intel Pentium Gold G6405   4.10GHz,4254,Intel UHD Graphics,1476,15.6,1366,768,4096,262144,Windows 10,3.18,399
24,HP,Intel Core i3 7350K   4.20GHz,4943,Intel Arc,4253,17.3,1920,1080,8192,262144,MacOS,2.96,519
25,GIGABYTE,Intel Core i7 13700H,28003,GeForce RTX 4080,34635,17.3,1920,1080,16384,1048576,Windows 11,2.73,1902.2
26,MSI,Intel Core i5 11400H   2.70GHz,15826,GeForce RTX 3050,12961,15.6,1920,1080,8192,524288,Windows 11,3.75,700.64
27,Acer,Intel Core i5 12450H,17441,GeForce RTX 3050,12961,17.3,1920,1080,16384,1048576,Windows 10,3,1169
28,Dell,Intel Core i5 4200U   1.60GHz,2187,Intel UHD Graphics,1476,12.5,1366,768,16384,512000,Windows 10,1.36,212.98
29,Asus,Intel Core i7 12700H,26423,GeForce RTX 4070,26876,15.6,1920,1080,16384,1048576,Windows 11,2.23,1199.49
31,Dell,Intel Core i7 12700H,26423,GeForce RTX 3070 Ti,23757,15.6,2560,1440,16384,524288,Windows 11,2.68,1599
32,HP,AMD C 30,178,Ryzen 3 4300G with Radeon Graphics,2040,15.6,1920,1080,8192,262144,No OS,0.46,379.99
33,Lenovo,Intel Core i5 11300H   3.10GHz,10984,GeForce GTX 1650,7868,15.6,1920,1080,8192,1048576,Windows 10,2.25,969
34,Apple,Apple A8,1536,GeForce2 Integrated GPU,4,13.3,1920,1080,8192,262144,MacOS,2.28,862.98
35,Asus,Intel Core i9 12900H,28523,GeForce RTX 3070 Ti,23757,15.6,2560,1440,32768,2097152,Windows 11,2.3,2419
36,Dell,Intel Core i7 13790F,46110,Intel UHD Graphics 620,1042,14,1920,1080,32768,1048576,Windows 10,1.53,1212.55
37,Dell,Intel Core i7 12800H,24971,Quadro P520,2106,15.6,1366,768,32768,1024000,Windows 10,1.86,1185.02
38,Dell,Intel Core i9 12900,34306,GeForce RTX 4070,26876,17,1920,1200,32768,1024000,Windows 11,3.64,2656.49
39,HP,Intel Core i7 1355U,15287,GeForce MX550,4601,15.6,1920,1080,32768,1048576,Windows 11,1.77,1119
40,Dell,Intel Core i7 12700H,26423,GeForce RTX 3060,17089,15.6,1920,1080,32768,1048576,Windows 11,2.38,1659
41,Acer,Intel Core i5 12450H,17441,GeForce RTX 3050,12961,17.3,1920,1080,16384,1048576,Windows 10,3,1169
42,Lenovo,Intel Celeron N4020   1.10GHz,1556,Intel UHD Graphics 600,324,14,1366,768,4096,65536,Windows 11,1.41,433.32
43,Lenovo,Intel Core i7 1355U,15287,Intel Arc,4253,14,1920,1080,16384,524288,Windows 11,1.37,1598
44,Dell,Intel Core i5 1334U,12802,Intel UHD Graphics,1476,14,1366,768,8192,262144,Windows 11,3.64,889.34
45,Acer,Intel Core i7 1165G7   2.80GHz,10346,Intel Iris Xe,2690,15.6,1920,1080,20480,1048576,Windows 11,1.65,939.51
46,Acer,AMD Ryzen 7 7840HS,28906,GeForce RTX 4060,19560,17.3,2560,1440,16384,1048576,Windows 11,3,1169.29
47,Asus,AMD C 30,178,GeForce RTX 2060,14124,15.6,1920,1080,16384,524288,Windows 10,2.2,879
48,Acer,Intel N50,2350,Intel Iris Xe,2690,15.6,1920,1080,8192,524288,Windows 11,2.57,699.99
49,HP,Intel Core i3 1215U,11027,Intel UHD Graphics,1476,15.6,1920,1080,16384,524288,Windows 11,2.34,489
50,Acer,Intel Core i5 1240P,17329,GeForce RTX 3050,12961,15.6,1920,1080,16384,524288,Windows 10,2.1,769
51,Dell,Intel Core i5 1135G7   2.40GHz,9891,Intel Iris Xe,2690,14,1920,1080,8192,524288,Windows 10,1.4,714.01
52,Dell,Intel Core i7 985   3.47GHz,3928,RTX A2000,13772,16,1920,1200,65536,2048000,Windows 11,2.61,2218.36
53,Dell,Intel Core i9 12950HX,32933,GeForce RTX 3050,12961,15.6,1920,1200,32768,1048576,Windows 10,1.92,2221.03
54,Panasonic,Intel Core i5 6300U   2.40GHz,3240,Intel HD Graphics 620,926,12,2160,1440,16384,524288,Windows 10,1.66,860
55,Lenovo,AMD Ryzen 7 5700U,15853,Ryzen 3 4300G with Radeon Graphics,2040,14,1920,1080,32768,2097152,Windows 11,1.41,919
56,Asus,Intel Celeron 1.70GHz,101,Intel HD Graphics 620,926,15.6,1366,768,4096,512000,Windows 8,2.36,318.98
57,Acer,AMD Ryzen 7 1700,14812,Ryzen 3 4300G with Radeon Graphics,2040,15.6,1920,1080,8192,524288,Windows 11,2.68,690.21
58,HP,Intel Core i3 4010U   1.70GHz,1655,Intel UHD Graphics,1476,17.3,1920,1080,8192,524288,Windows 11,3,479
59,Dell,Intel Core i7 12700H,26423,Intel HD 5000,576,14,1366,768,8192,262144,Windows 10,3.32,569.95
61,Dell,Intel Core i5 1334U,12802,GeForce RTX 3050,12961,15.6,1920,1080,65536,2048000,Windows 10,3.64,1252.89
62,XAMMUE,Intel Core i5 1230U,10779,GeForce2 Integrated GPU,4,7,1920,1080,16384,524288,Windows 11,2.62,999.99
63,Dell,Intel Core i5 2310   2.90GHz,3642,Intel UHD Graphics,1476,15.6,1920,1080,16384,262144,Windows 10,1.59,882.41
64,HP,AMD Ryzen 3 5300U,9716,Ryzen 3 4300G with Radeon Graphics,2040,15.6,1366,768,32768,1048576,Windows 11,1.82,404.99
65,Dell,Intel Core i7 11800H   2.30GHz,20753,GeForce RTX 3050,12961,15.6,1920,1200,16384,2048000,Windows 11,13.18,2175.99
66,Lenovo,Intel Core i7 1355U,15287,Intel Iris Xe,2690,16,1920,1200,16384,1048576,Windows 10,2.05,1259
67,MSI,Intel Core i5 10500H   2.50GHz,11287,GeForce RTX 3060,17089,15.6,1920,1080,16384,524288,Windows 10,1.86,1039
68,Acer,AMD Ryzen 7 7735HS,24268,GeForce RTX 2050,7320,17.3,1920,1080,32768,1048576,Windows 10,3,1499
69,HP,Intel Pentium Silver N5030   1.10GHz,2621,Intel Arc,4253,15.6,1366,768,16384,1024000,Windows 11,1.77,459.99
70,HP,Intel Core i3 8130U   2.20GHz,3591,Intel UHD Graphics 620,1042,14,1366,768,4096,131072,Windows 10,1.43,439
71,Asus,AMD Ryzen 9 6900HS,23896,GeForce RTX 3060,17089,15.6,2560,1440,40960,1048576,Windows 11,1.9,1849.99
72,Dell,Intel Core i7 13705H,23728,GeForce RTX 3070 Ti,23757,17.3,2560,1440,16384,1024000,Windows 11,3.64,2814.29
73,HP,Intel Core i5 1235U,13554,Intel Iris Xe,2690,15.6,1920,1080,32768,1048576,Windows 11,1.76,1099
75,Dell,Intel Core i5 12600H,23062,Intel Arc,4253,14,1920,1080,8192,1048576,Windows 10,2.7,1664.9
76,Dell,Intel Core i7 13705H,23728,GeForce RTX 3070 Ti,23757,15.6,1920,1080,16384,2048000,Windows 11,3.64,1871.09
77,MSI,Intel Core i5 12450H,17441,GeForce RTX 3050,12961,15.6,1920,1080,16384,1048576,Windows 11,2.73,1329.99
78,Acer,Intel Core i7 1260P,17229,Intel Iris Xe,2690,14,2560,1600,16384,1048576,Windows 11,1.23,1401.7
79,Asus,Intel Core i3 1005G1   1.20GHz,4982,Intel UHD Graphics,1476,15.6,1920,1080,4096,131072,Windows 10,1.82,329
80,Dell,Intel Core i7 13650HX,32140,GeForce RTX 2050,7320,15.6,1920,1080,24576,1048576,Windows 11,2.28,1369
81,Dell,Intel Core i7 870   2.93GHz,3122,GeForce RTX 3050,12961,17.3,1920,1200,8192,8388608,Windows 11,2.73,3663.65
82,Acer,Intel Core i5 12450H,17441,GeForce RTX 3050,12961,17.3,1920,1080,8192,1048576,Windows 10,2.5,1209
83,Lenovo,Intel Core i5 4300U   1.90GHz,2499,Intel Arc,4253,14,1366,768,8192,122880,Windows 10,2.27,243.98
84,Dell,Intel Core i7 1255U,13775,Intel Iris Xe,2690,14,1920,1200,32768,1048576,Windows 11,2.18,1419
85,Panasonic,Intel Core i5 12450H,17441,Intel HD Graphics 620,926,14,1920,1080,16384,524288,Windows 7,2.09,588
86,Lenovo,Intel Core i5 1035G1   1.00GHz,7460,Intel UHD Graphics,1476,15.6,1366,768,12288,262144,Windows 10,0.2,469.99
87,Dell,Intel Core i7 13705H,23728,GeForce RTX 3050,12961,16,2560,1600,32768,2048000,Windows 11,2.45,1265.87
88,Dell,Intel Core i7 12800H,24971,Intel UHD Graphics,1476,14,1920,1080,32768,524288,Windows 10,1.23,1027.94
89,HP,Intel Core i7 13700HX,34115,GeForce RTX 4060,19560,16.1,2560,1440,32768,1048576,Windows 11,2.7,1859
90,Lenovo,Intel Core i5 1235U,13554,Intel Iris Xe,2690,14,1920,1080,16384,524288,Windows 11,2.4,599.99
91,Acer,Intel Core i5 1240P,17329,GeForce RTX 3050,12961,15.6,1920,1080,24576,2097152,Windows 10,2.1,989
92,Dell,Intel Core i3 1215U,11027,Intel UHD Graphics,1476,15.6,1920,1080,16384,1048576,Windows 11,2.05,449
93,Asus,Intel Core i7 11370H   3.30GHz,11757,GeForce RTX 3050,12961,15.6,1920,1080,8192,524288,Windows 11,2,1079
94,Dell,AMD Ryzen 5 5625U,15084,Ryzen 3 4300G with Radeon Graphics,2040,16,1920,1200,8192,524288,Windows 10,1.97,759
95,Lenovo,Intel Core i5 12450H,17441,Intel UHD Graphics,1476,12.5,1366,768,4096,327680,Windows 10,1.5,163.98
96,Dell,Intel Core i9 12950HX,32933,GeForce RTX 3060,17089,17,1920,1200,65536,1048576,Windows 10,1.8,2814.72
97,Lenovo,AMD A9 9425,1508,Radeon R5E,296,15.6,1920,1080,4096,131072,Windows 10,2.09,529.99
98,GIGABYTE,Intel Core i5 12500H,21525,GeForce RTX 2050,7320,14,2880,1800,16384,1048576,Windows 11,1.49,1249
99,Acer,Intel Core i7 11800H   2.30GHz,20753,GeForce RTX 3060,17089,16,2560,1600,16384,524288,Windows 11,2.41,1489
100,Dell,Intel Core i7 13705H,23728,GeForce RTX 3050,12961,16,1920,1080,8192,524288,Windows 11,3.64,1682.91
101,HP,Intel Core i7 1255U,13775,GeForce MX550,4601,17.3,1920,1080,20480,1048576,Windows 11,2.55,1549.99
102,MSI,Intel Core i7 12650H,23276,GeForce RTX 2050,7320,15.6,1920,1080,16384,524288,Windows 11,1.86,1249
103,Asus,Intel Celeron N3350   1.10GHz,1108,Intel HD Graphics 620,926,11.6,1366,768,4096,131072,Windows 10,1.27,342
104,Acer,AMD Ryzen 7 7735HS,24268,GeForce RTX 2050,7320,17.3,1920,1080,65536,4194304,Windows 10,3,1949
105,Dell,AMD Ryzen 7 5825U,18462,GeForce MX550,4601,15.6,1920,1080,24576,1048576,Windows 10,2.35,1099
106,Dell,Intel Core i5 1035G1   1.00GHz,7460,Intel Iris Xe,2690,15.6,1920,1080,32768,1048576,Windows 11,1.7,519
107,Asus,Intel Core i7 13620H,26454,GeForce RTX 3050,12961,15.6,1920,1080,16384,1048576,Windows 11,1.8,1209.99
108,Lenovo,Intel Core i3 1115G4   3.00GHz,6132,Intel UHD Graphics,1476,14,1920,1080,8192,524288,Windows 11,1.5,439
110,HP,Intel Core i7 1255U,13775,Intel Iris Xe,2690,15.6,1920,1080,16384,1048576,Windows 11,2.57,1099
111,Dell,Intel Core i9 13980HX,48083,RTX A2000,13772,17,3840,2400,65536,2048000,Windows 11,3.64,3100.23
112,HP,Intel Core i3 1005G1   1.20GHz,4982,Intel UHD Graphics,1476,14,1366,768,4096,131072,Windows 10,1.5,295.95
113,Acer,Intel Core i5 10300H   2.50GHz,8473,GeForce RTX 3050,12961,15.6,1920,1080,8192,524288,Windows 11,2.3,979
114,Lenovo,AMD Ryzen 7 5700U,15853,Ryzen 3 4300G with Radeon Graphics,2040,14,1920,1080,16384,524288,Windows 10,1.64,949
115,Dell,Intel Core i7 13705H,23728,GeForce RTX 3070 Ti,23757,17.3,1920,1080,65536,2048000,Windows 11,3.64,2407.86
116,HP,Intel Core i5 12450H,17441,GeForce GTX 1650,7868,15.6,1920,1080,8192,524288,Windows 10,3.64,759
117,Dell,Intel Core i7 12800H,24971,Intel Arc,4253,15.6,1920,1080,8192,1024000,Windows 10,3.64,1067.21
118,MSI,Intel Core i7 12650H,23276,GeForce RTX 3060,17089,15.6,1920,1080,16384,1048576,Windows 11,2.88,1289.99
119,Lenovo,Intel Core i7 1270P,17546,Intel Iris Xe,2690,16,1920,1200,24576,524288,Windows 11,2.12,1359
120,Dell,Intel Core i7 12650H,23276,Intel Arc,4253,14,1366,768,16384,262144,Windows 10,1.36,727.64
121,Asus,Intel Core i7 13620H,26454,GeForce RTX 3050,12961,15.6,1920,1080,24576,1048576,Windows 10,1.82,1259
122,Asus,Intel Pentium Gold 8505,9339,Intel UHD Graphics,1476,17.3,1600,900,8192,262144,Windows 11,3.14,482.99
123,LG,Intel Core i7 1360P,19333,Intel Iris Xe,2690,15.6,1920,1200,16384,524288,Windows 11,1.14,1171.99
124,Dell,Intel Core i7 13700H,28003,Intel Iris Xe,2690,16,2560,1600,32768,1048576,Windows 10,1.4,1439
125,Acer,Intel Core i3 1115G4   3.00GHz,6132,Intel UHD Graphics,1476,15.6,1920,1080,8192,131072,Windows 11,1.65,299.99
126,Lenovo,Intel Core i7 1355U,15287,Intel Iris Xe,2690,14,2240,1400,16384,1048576,Windows 11,1.6,1099
127,HP,Intel Core i7 12700H,26423,Intel Iris Xe,2690,16,3072,1920,16384,2097152,Windows 11,2.05,1899
128,Dell,Intel Core i5 1145G7   2.60GHz,9970,Intel Iris Xe,2690,15,1920,1080,8192,262144,Windows 10,2.84,733.42
129,Dell,Intel Core i7 13705H,23728,Intel UHD Graphics,1476,16,3072,1920,32768,1024000,Windows 11,3.64,814.23
130,Acer,AMD Ryzen 7 5825U,18462,GeForce RTX 3050,12961,14,1920,1080,16384,524288,Windows 11,1.39,918.56
131,HP,Intel Core i5 1335U,16980,Intel Iris Xe,2690,17.3,1920,1080,16384,1048576,Windows 11,2.09,829
132,Microsoft,AMD Ryzen 7 2700,15735,Radeon RX Vega 11,2119,15,2496,1664,16384,524288,Windows 10,1.55,825
133,Asus,Intel Core i3 1115G4   3.00GHz,6132,Intel UHD Graphics,1476,15.6,1920,1080,12288,524288,Windows 11,1.82,395
134,Asus,Intel Celeron N4020   1.10GHz,1556,Intel UHD Graphics 600,324,14,1366,768,4096,65536,Windows 11,1.27,239.99
135,MSI,Intel Core i5 1135G7   2.40GHz,9891,Intel Iris Xe,2690,14,1920,1080,16384,524288,Windows 10,1.29,1020
136,HP,AMD Ryzen 5 5500U,13144,Ryzen 3 4300G with Radeon Graphics,2040,15.6,1920,1080,12288,524288,Windows 11,1.33,629
