,Brand,CPU Name,CPU Mark,GPU Name,GPU Mark,Monitor,Width,Height,RAM,Storage Amount,Storage Type,OS,Weight,Price
0,MSI,Intel Core i7 13620H,26454.0,GeForce RTX 2050,7320.0,15.6,1920.0,1080.0,16384.0,2097152.0,SSD,Windows 11,3.03,1529.0
3,Dell,Intel Core i7 1360P,19333.0,Intel Iris Pro Graphics 6200,1449.0,16.0,1920.0,1200.0,24576.0,1048576.0,SSD,Windows 10,,1079.0
4,Dell,Intel Core i7 10700   2.90GHz,16550.0,Intel Arc A730M,8274.0,15.6,1920.0,1200.0,32768.0,1048576.0,SSD,Windows 10,1.92,1907.0
5,Asus,AMD Ryzen 9 7945HX,55651.0,GeForce RTX 4070,26876.0,17.3,2560.0,1400.0,16384.0,1048576.0,SSD,Windows 11,2.68,1959.99
6,Lenovo,AMD Ryzen 9 6900HX,24887.0,GeForce RTX 3070,22459.0,16.0,2560.0,1600.0,16384.0,1048576.0,SSD,Windows 11,,1499.99
7,Dell,Intel Core i3 2105   3.10GHz,1883.0,GeForce RTX 3050,12961.0,15.6,1920.0,1080.0,16384.0,524288.0,SSD,Windows 11,2.55,1038.32
8,Core Innovations,Intel Celeron N3350   1.10GHz,1108.0,Intel UHD Graphics 600,324.0,14.1,1366.0,768.0,3072.0,,,Windows 10,1.59,99.0
9,Acer,AMD Ryzen 5 5625U,15084.0,GeForce RTX 3050,12961.0,15.6,1920.0,1080.0,8192.0,524288.0,SSD,Windows 10,2.14,729.0
10,LG,Intel Core i7 1260P,17229.0,Intel Iris Pro Graphics 6200,1449.0,16.0,1280.0,800.0,16384.0,524288.0,SSD,Windows 11,1.18,1249.0
11,Acer,Intel Core i3 2105   3.10GHz,1883.0,GeForce RTX 3050,12961.0,17.3,1920.0,1080.0,32768.0,1048576.0,SSD,Windows 11,3.00,989.0
12,HP,Intel Core i3 1215U,11027.0,Intel UHD Graphics,1476.0,15.6,1920.0,1080.0,16384.0,1048576.0,SSD,Windows 11,1.64,446.4
13,Asus,Intel Core i7 11370H   3.30GHz,11757.0,GeForce RTX 4060,19560.0,16.0,1920.0,1200.0,16384.0,2097152.0,SSD,Windows 10,,1619.0
15,Dell,Intel Core i7 1165G7   2.80GHz,10346.0,Intel Iris Pro Graphics 6200,1449.0,15.6,1920.0,1080.0,65536.0,2097152.0,SSD,Windows 11,1.73,968.99
16,Samsung,Intel Core i3 10110U   2.10GHz,3919.0,Intel UHD Graphics,1476.0,13.3,1920.0,1080.0,16384.0,,,ChromeOS,1.68,689.99
19,Lenovo,Intel Core i5 750   2.67GHz,2521.0,GeForce GTX 1660 Ti,12956.0,15.6,1920.0,1080.0,16384.0,1048576.0,SSD,Windows 10,2.46,999.0
20,Dell,Intel Core i7 12800H,24971.0,Intel UHD Graphics,1476.0,14.0,1920.0,1080.0,16384.0,262144.0,SSD,Windows 10,1.23,727.64
21,Dell,AMD Ryzen 5 3350G,9041.0,GeForce RTX 3060,17089.0,15.6,1920.0,1080.0,32768.0,1024000.0,SSD,Windows 11,3.64,2037.24
22,HP,Intel Core i3 1110G4   1.80GHz,4390.0,Intel UHD Graphics,1476.0,15.6,1920.0,1080.0,32768.0,2097152.0,SSD,Windows 11,,759.0
23,HP,Intel Pentium Gold G6405   4.10GHz,4254.0,Intel UHD Graphics,1476.0,15.6,1366.0,768.0,4096.0,262144.0,SSD,Windows 10,,399.0
25,GIGABYTE,Intel Core i7 13700H,28003.0,GeForce RTX 4080,34635.0,17.3,1920.0,1080.0,16384.0,1048576.0,SSD,Windows 11,2.73,1902.2
26,MSI,Intel Core i5 11400H   2.70GHz,15826.0,GeForce RTX 3050,12961.0,15.6,1920.0,1080.0,8192.0,524288.0,SSD,Windows 11,3.75,700.64
27,Acer,Intel Core i5 2410M   2.30GHz,1937.0,GeForce RTX 3050,12961.0,17.3,1920.0,1080.0,16384.0,1048576.0,SSD,Windows 10,3.00,1169.0
29,Asus,Intel Core i7 5700HQ   2.70GHz,6026.0,GeForce RTX 4070,26876.0,15.6,1920.0,1080.0,16384.0,1048576.0,SSD,Windows 11,2.23,1199.49
31,Dell,Intel Core i7 10850H   2.70GHz,11877.0,GeForce RTX 3070 Ti,23757.0,15.6,2560.0,1440.0,16384.0,524288.0,SSD,Windows 11,2.68,1599.0
33,Lenovo,Intel Core i5 8300H   2.30GHz,7459.0,GeForce GTX 1650,7868.0,15.6,1920.0,1080.0,8192.0,1048576.0,SSD,Windows 10,2.25,969.0
35,Asus,Intel Core i9 11900H   2.50GHz,20886.0,GeForce RTX 3070 Ti,23757.0,15.6,2560.0,1440.0,32768.0,2097152.0,SSD,Windows 11,2.30,2419.0
36,Dell,Intel Core i3 3227U   1.90GHz,1286.0,Intel UHD Graphics 620,1042.0,14.0,1920.0,1080.0,32768.0,1048576.0,SSD,Windows 10,1.53,1212.55
37,Dell,Intel Core i7 12800H,24971.0,Quadro P520,2106.0,15.6,1366.0,768.0,32768.0,1024000.0,SSD,Windows 10,1.86,1185.02
40,Dell,Intel Core i7 11700   2.50GHz,19972.0,GeForce RTX 3060,17089.0,15.6,1920.0,1080.0,32768.0,1048576.0,SSD,Windows 11,,1659.0
41,Acer,Intel Core i5 2450M   2.50GHz,2070.0,GeForce RTX 3050,12961.0,17.3,1920.0,1080.0,16384.0,1048576.0,SSD,Windows 10,3.00,1169.0
42,Lenovo,Intel Celeron N4020   1.10GHz,1556.0,Intel UHD Graphics 600,324.0,14.0,1366.0,768.0,4096.0,65536.0,SSD,Windows 11,1.41,433.32
44,Dell,Intel Core i3 560   3.33GHz,1665.0,Intel UHD Graphics,1476.0,14.0,1366.0,768.0,8192.0,262144.0,SSD,Windows 11,3.64,889.34
45,Acer,Intel Core i7 1165G7   2.80GHz,10346.0,Intel Iris Pro Graphics 6200,1449.0,15.6,1920.0,1080.0,20480.0,1048576.0,SSD,Windows 11,1.65,939.51
46,Acer,AMD Ryzen 7 7840HS,28906.0,GeForce RTX 4060,19560.0,17.3,2560.0,1440.0,16384.0,1048576.0,SSD,Windows 11,3.00,1169.29
49,HP,Intel Core i3 8121U   2.20GHz,4388.0,Intel UHD Graphics,1476.0,15.6,1920.0,1080.0,16384.0,524288.0,SSD,Windows 11,,489.0
50,Acer,Intel Core i5 2400S   2.50GHz,3149.0,GeForce RTX 3050,12961.0,15.6,1920.0,1080.0,16384.0,524288.0,SSD,Windows 10,2.10,769.0
51,Dell,Intel Core i5 1035G7   1.20GHz,8301.0,Intel Iris Pro Graphics 6200,1449.0,14.0,1920.0,1080.0,8192.0,524288.0,SSD,Windows 10,1.40,714.01
53,Dell,Intel Core i9 12950HX,32933.0,GeForce RTX 3060 Ti,20599.0,15.6,1920.0,1200.0,32768.0,1048576.0,SSD,Windows 10,1.92,2221.03
54,Panasonic,Intel Core i5 6300U   2.40GHz,3240.0,Intel HD Graphics 620,926.0,12.0,2160.0,1440.0,16384.0,524288.0,SSD,Windows 10,,860.0
56,Asus,Intel Celeron M 1.50GHz,216.0,Intel UHD Graphics,1476.0,15.6,1366.0,768.0,4096.0,512000.0,SSD,Windows 8,2.36,318.98
58,HP,Intel Core i3 4130   3.40GHz,3323.0,Intel UHD Graphics,1476.0,17.3,1920.0,1080.0,8192.0,524288.0,SSD,Windows 11,,479.0
59,Dell,Intel Core i7 12700H,26423.0,Intel HD 5000,576.0,14.0,1366.0,768.0,8192.0,262144.0,SSD,Windows 10,,569.95
61,Dell,Intel Core i3 560   3.33GHz,1665.0,GeForce RTX 3050,12961.0,15.6,,,65536.0,2048000.0,SSD,Windows 10,3.64,1252.89
63,Dell,Intel Core i5 2310   2.90GHz,3642.0,Intel UHD Graphics,1476.0,15.6,1920.0,1080.0,16384.0,262144.0,SSD,Windows 10,1.59,882.41
65,Dell,Intel Core i7 11800H   2.30GHz,20753.0,GeForce RTX 3060 Ti,20599.0,15.6,1920.0,1200.0,16384.0,2048000.0,SSD,Windows 11,13.18,2175.99
66,Lenovo,Intel Core i7 5557U   3.10GHz,3089.0,Intel Iris Pro Graphics 6200,1449.0,16.0,1920.0,1200.0,16384.0,1048576.0,SSD,Windows 10,2.05,1259.0
67,MSI,Intel Core i5 10500H   2.50GHz,11287.0,GeForce RTX 3060,17089.0,15.6,1920.0,1080.0,16384.0,524288.0,SSD,Windows 10,1.86,1039.0
68,Acer,AMD Ryzen 7 7735HS,24268.0,GeForce RTX 2050,7320.0,17.3,1920.0,1080.0,32768.0,1048576.0,SSD,Windows 10,3.00,1499.0
70,HP,Intel Core i3 8130U   2.20GHz,3591.0,Intel UHD Graphics 620,1042.0,14.0,1366.0,768.0,4096.0,131072.0,SSD,Windows 10,1.43,439.0
71,Asus,AMD Ryzen 9 6900HS,23896.0,GeForce RTX 3060,17089.0,15.6,2560.0,1440.0,40960.0,1048576.0,SSD,Windows 11,1.90,1849.99
72,Dell,Intel Core i7 13705H,23728.0,GeForce RTX 3070 Ti,23757.0,17.3,2560.0,1440.0,16384.0,1024000.0,SSD,Windows 11,3.64,2814.29
73,HP,Intel Core i5 2300   2.80GHz,3414.0,Intel Iris Pro Graphics 6200,1449.0,15.6,1920.0,1080.0,32768.0,1048576.0,SSD,Windows 11,1.76,1099.0
76,Dell,Intel Core i7 13705H,23728.0,GeForce RTX 3070 Ti,23757.0,15.6,1920.0,1080.0,16384.0,2048000.0,SSD,Windows 11,3.64,1871.09
77,MSI,Intel Core i5 2410M   2.30GHz,1937.0,GeForce RTX 3050,12961.0,15.6,1920.0,1080.0,16384.0,1048576.0,SSD,Windows 11,2.73,1329.99
78,Acer,Intel Core i7 1260P,17229.0,Intel Iris Pro Graphics 6200,1449.0,14.0,2560.0,1600.0,16384.0,1048576.0,SSD,Windows 11,1.23,1401.7
