Brand,CPU Mark,GPU Mark,Monitor,Width,Height,RAM,Storage Amount,OS,Weight,Price
HP,13144.0,1476.0,17.3,1920,1080,32.0,512.0,Windows 11,1.77,733.5
HP,10346.0,2690.0,15.6,1920,1080,12.0,256.0,Windows 11,1.77,886.78
HP,6132.0,1476.0,15.6,1920,1080,8.0,256.0,Windows 10,2.0,375.0
HP,2028.0,1476.0,12.5,1366,768,8.0,256.0,Windows 10,0.98,209.98
Lenovo,16752.0,518.0,13.0,1920,1200,16.0,256.0,Windows 10,1.19,1748.95
Asus,16506.0,2040.0,16.0,1920,1200,16.0,512.0,Windows 11,1.88,789.0
Lenovo,9891.0,2690.0,15.6,1920,1080,20.0,1024.0,Windows 11,0.78,604.79
Acer,8473.0,12961.0,15.6,1920,1080,8.0,512.0,Windows 11,1.68,929.0
Lenovo,15853.0,1792.0,14.0,1920,1080,24.0,512.0,Windows 11,1.88,699.0
HP,27476.0,22064.0,15.6,1920,1080,32.0,1024.0,Windows 10,2.01,2714.26
Dell,23728.0,12961.0,15.6,3840,2160,32.0,1000.0,Windows 11,3.64,2218.62
Dell,32140.0,7320.0,15.6,1920,1080,32.0,2048.0,Windows 10,2.64,1489.0
HP,9737.0,4253.0,17.3,1600,900,32.0,1000.0,Windows 11,2.09,619.99
HP,7460.0,926.0,14.0,1920,1080,8.0,512.0,Windows 10,1.77,628.79
LG,19333.0,12961.0,16.0,2560,1600,32.0,1024.0,Windows 11,1.3,1899.0
Dell,10552.0,2690.0,14.0,2560,1600,16.0,1024.0,Windows 11,1.4,1399.0
HP,16506.0,1792.0,14.0,1920,1080,8.0,256.0,Windows 11,1.6,1149.0
Dell,32140.0,7320.0,15.6,1920,1080,64.0,2048.0,Windows 11,1.39,1689.0
HP,14323.0,1971.0,14.0,1920,1080,16.0,256.0,Windows 10,1.69,954.5
HP,3855.0,2040.0,14.0,1360,768,8.0,128.0,Windows 10,1.47,299.0
Asus,21384.0,389.0,14.0,1366,768,4.0,500.0,Other,2.3,999.0
HP,9891.0,926.0,15.6,1920,1080,8.0,256.0,Windows 11,1.77,489.19
HP,4982.0,1476.0,15.6,1920,1080,16.0,256.0,Windows 10,2.22,479.79
