,Brand,CPU Name,CPU Mark,GPU Name,GPU Mark,Monitor,Width,Height,RAM,Storage Amount,OS,Weight,Price
0,MSI,Intel Core i7 12700H,26423.0,GeForce RTX 3080 Laptop GPU,16544.0,16.0,2560,1600,32.0,1024.0,Windows 11,2.89,2169.0
1,IST Computers,Intel Core i5 1235U,13554.0,Intel Iris Xe,2690.0,14.0,1920,1080,16.0,1024.0,Windows 11,1.75,799.98
2,Lenovo,Intel Core i7 1250U,12421.0,Intel HD Graphics 620,926.0,15.6,1920,1080,256.0,256.0,Windows 10,1.16,926.0
3,Dell,Intel Core i5 6200U   2.30GHz,2999.0,GeForce2 Integrated GPU,4.0,16.0,2560,1600,16.0,512.0,Windows 10,3.64,319.99
4,Acer,AMD Ryzen 7 7735HS,24268.0,GeForce RTX 2050,7320.0,17.3,1920,1080,32.0,2048.0,Windows 11,3.0,1569.0
5,HP,Intel Core i5 13420H,18753.0,GeForce RTX 3050,12961.0,15.6,1920,1080,32.0,1024.0,Windows 11,2.68,945.0
6,HP,Intel Pentium Silver N5030   1.10GHz,2621.0,Intel Arc,4253.0,15.6,1366,768,16.0,1000.0,Windows 11,1.77,459.99
7,HP,Intel Core i5 1135G7   2.40GHz,9891.0,Intel Iris Xe,2690.0,14.0,1920,1080,8.0,256.0,Windows 10,1.37,519.0
8,Lenovo,Intel Core i5 1245U,13481.0,Intel UHD Graphics,1476.0,14.0,1920,1080,8.0,256.0,Windows 11,1.08,919.68
9,Dell,Intel Core i7 12700H,26423.0,GeForce RTX 3050,12961.0,16.0,3072,1920,16.0,512.0,Windows 10,3.29,1389.0
10,HP,Intel Celeron 1.70GHz,101.0,Intel HD Graphics 620,926.0,14.0,1366,768,4.0,32.0,ChromeOS,1.63,298.0
12,Lenovo,Intel Core i3 1210U,10641.0,Intel HD Graphics 620,926.0,15.6,1920,1080,20.0,256.0,Windows 10,2.68,594.79
13,Acer,AMD Ryzen 5 5625U,15084.0,GeForce RTX 3050,12961.0,15.6,1920,1080,16.0,1024.0,Windows 10,2.2,829.0
14,HP,Intel Core i5 1335U,16980.0,Intel Iris Xe,2690.0,17.3,1920,1080,16.0,512.0,Windows 11,1.85,662.0
15,Dell,Intel Core i9 13980HX,48083.0,RTX A2000,13772.0,17.0,3840,2400,64.0,2000.0,Windows 11,3.64,3100.23
16,Lenovo,Intel Core i7 12800HX,32744.0,RTX A2000,13772.0,16.0,3840,2400,64.0,4096.0,Windows 10,2.17,2559.0
17,Lenovo,AMD Ryzen 5 3500U,6978.0,Radeon Ryzen 5 4600GE with Radeon Graphics,1792.0,14.0,1920,1080,8.0,256.0,Windows 10,1.77,689.99
18,Lenovo,Intel Core i5 1035G1   1.00GHz,7460.0,Intel UHD Graphics,1476.0,17.3,1600,900,36.0,1024.0,Windows 10,2.2,999.99
19,Dell,Intel Core i7 1365U,15451.0,Intel HD Graphics 620,926.0,14.0,1920,1080,16.0,512.0,Windows 11,2.22,2520.99
20,Acer,Intel Core i7 12700H,26423.0,GeForce RTX 3060,17089.0,16.0,2560,1600,16.0,2048.0,Windows 11,2.68,1339.99
21,Asus,Intel Core i5 1340P,20247.0,Intel Iris Xe,2690.0,14.0,2560,1600,16.0,512.0,Windows 11,2.95,999.0
22,Dell,AMD Ryzen 7 2700,15735.0,GeForce RTX 3070 Ti,23757.0,17.3,1920,1080,16.0,512.0,Windows 11,3.64,1406.58
23,Asus,Intel Core i9 12900H,28523.0,GeForce RTX 3080 Ti,27324.0,15.6,2560,1440,32.0,1024.0,Windows 11,2.3,2985.98
24,Dell,Intel Core i7 13705H,23728.0,GeForce RTX 3070 Ti,23757.0,15.6,1920,1080,16.0,1000.0,Windows 11,3.64,1837.6
25,Dell,Intel Core i5 1235U,13554.0,Intel Iris Xe,2690.0,16.0,1920,1200,16.0,1024.0,Windows 10,1.95,879.99
26,MSI,Intel Core i7 12650H,23276.0,GeForce RTX 4060,19560.0,15.6,1920,1080,64.0,2048.0,Windows 11,2.22,1399.99
29,Acer,Intel Celeron N3350   1.10GHz,1108.0,Intel HD Graphics 620,926.0,11.6,1366,768,4.0,32.0,ChromeOS,1.26,219.99
30,Lenovo,Intel Core i5 10210U   1.60GHz,6228.0,Intel UHD Graphics,1476.0,15.6,1366,768,12.0,512.0,Windows 10,1.64,766.0
31,HP,Intel Core i3 1115G4   3.00GHz,6132.0,Intel UHD Graphics,1476.0,15.6,1920,1080,32.0,1024.0,Windows 10,2.1,499.79
32,Dell,Intel Core i5 8350U   1.70GHz,6226.0,Intel UHD Graphics 620,1042.0,15.6,1366,768,8.0,500.0,Windows 10,5.49,529.99
33,HP,Intel Core i7 1165G7   2.80GHz,10346.0,Intel Iris Xe,2690.0,15.6,1920,1080,16.0,1024.0,Windows 11,2.34,1299.99
34,Dell,Intel Core i5 1145G7   2.60GHz,9970.0,Intel Iris Xe,2690.0,13.3,1920,1080,16.0,512.0,Windows 11,2.01,739.0
35,Dell,Intel Core i7 13705H,23728.0,GeForce RTX 3080 Ti,27324.0,15.6,1920,1080,32.0,512.0,Windows 11,3.64,1799.48
36,Asus,Intel Celeron 1000MHz,139.0,Intel UHD Graphics,1476.0,11.6,1366,768,4.0,128.0,Windows 11,1.69,419.08
37,MSI,Intel Core i7 1280P,20450.0,GeForce RTX 3060,17089.0,15.6,1920,1080,32.0,1024.0,Windows 11,1.69,1460.61
38,MSI,Intel Core i7 12650H,23276.0,GeForce RTX 4060,19560.0,15.6,1920,1080,16.0,1024.0,Windows 11,2.22,1149.99
39,Asus,Intel Celeron N4000   1.10GHz,1417.0,Intel UHD Graphics,1476.0,14.0,1920,1080,4.0,64.0,Windows 10,1.5,325.0
40,Lenovo,Intel Core i5 1135G7   2.40GHz,9891.0,Intel HD Graphics 620,926.0,14.0,1920,1080,8.0,1024.0,Windows 10,1.77,699.99
41,Asus,Intel Core i5 12600,21384.0,GeForce GT 335M,389.0,14.0,1366,768,4.0,500.0,Windows 7,2.3,999.0
42,Acer,Intel Core i7 1165G7   2.80GHz,10346.0,Intel Iris Xe,2690.0,13.5,2256,1504,8.0,1024.0,Windows 11,1.18,899.0
43,Dell,Intel Core i9 13900HX,44977.0,GeForce RTX 4060,19560.0,15.6,1920,1080,64.0,2048.0,Windows 11,2.04,2049.0
44,HP,Intel Core i5 1135G7   2.40GHz,9891.0,Intel Iris Xe,2690.0,15.6,1920,1080,8.0,256.0,Windows 10,1.44,448.79
45,Lenovo,Intel Core i5 1240P,17329.0,Intel Iris Xe,2690.0,12.0,2560,1600,8.0,256.0,Windows 11,2.46,999.0
46,Lenovo,Intel Core i3 1210U,10641.0,Intel HD Graphics 620,926.0,14.0,1920,1080,8.0,256.0,Windows 10,1.53,484.99
47,Asus,AMD Ryzen 7 7730U,18825.0,Radeon Ryzen 5 4600GE with Radeon Graphics,1792.0,15.6,1920,1080,8.0,1024.0,Windows 11,2.22,745.33
48,Dell,Intel Core i5 12450H,17441.0,GeForce GTX 1650,7868.0,15.6,1920,1080,8.0,512.0,Windows 10,2.73,4814.88
49,Lenovo,Intel Core i7 1355U,15287.0,Intel Iris Xe,2690.0,14.0,2240,1400,16.0,1024.0,Windows 11,1.59,1099.0
50,Acer,Intel Core i3 1005G1   1.20GHz,4982.0,Intel HD Graphics 620,926.0,15.6,1920,1080,4.0,256.0,Windows 10,2.22,476.78
52,HP,Intel Core i3 1115G4   3.00GHz,6132.0,Intel UHD Graphics,1476.0,15.6,1366,768,16.0,1024.0,Windows 11,1.7,439.0
53,Lenovo,Intel Core i7 1355U,15287.0,Intel Iris Xe,2690.0,16.0,1920,1200,16.0,1024.0,Windows 11,1.77,1259.0
54,Dell,Intel Core i5 1035G1   1.00GHz,7460.0,Intel UHD Graphics 630,1247.0,15.6,1920,1080,16.0,256.0,Windows 10,2.07,599.79
55,Asus,Intel Core i7 1255U,13775.0,Intel Iris Xe,2690.0,15.6,1920,1080,16.0,512.0,Windows 11,2.6,943.62
56,Asus,Intel Core i7 13650HX,32140.0,GeForce RTX 4060,19560.0,15.6,1920,1200,16.0,512.0,Windows 11,2.5,1699.99
57,HP,Intel Core i7 1355U,15287.0,Intel Iris Xe,2690.0,15.6,1920,1080,16.0,1024.0,Windows 11,2.11,949.99
58,Dell,Intel Core i7 13705H,23728.0,GeForce RTX 3070 Ti,23757.0,17.3,3840,2160,32.0,1000.0,Windows 11,3.64,2929.79
59,Microsoft,Intel Core i5 750S   2.40GHz,1326.0,Intel HD Graphics 620,926.0,12.4,1920,1080,8.0,256.0,Windows 11,1.13,699.99
60,MSI,Intel Core i7 13650HX,32140.0,GeForce RTX 2050,7320.0,15.6,1920,1080,32.0,1024.0,Windows 11,3.05,1359.0
61,Dell,Intel Core i5 6300U   2.40GHz,3240.0,Intel UHD Graphics,1476.0,14.0,1366,768,8.0,256.0,Windows 10,2.86,490.0
62,Dell,Intel Core i7 13705H,23728.0,GeForce RTX 3050,12961.0,15.6,1920,1200,64.0,2000.0,Windows 11,3.64,2105.55
63,HP,Intel Core i5 1245U,13481.0,Intel Iris Xe,2690.0,14.0,1920,1200,32.0,512.0,Windows 10,1.34,899.0
64,HP,Intel Core i3 1215U,11027.0,Intel Iris Xe,2690.0,14.0,1920,1080,8.0,256.0,Windows 11,1.5,419.99
65,HP,Intel Core i5 1230U,10779.0,Intel Iris Xe,2690.0,15.6,1920,1080,8.0,256.0,Windows 11,2.0,503.99
66,HP,Intel Core i9 12900H,28523.0,GeForce RTX 3060,17089.0,16.1,2560,1440,24.0,1024.0,Windows 10,2.06,1799.0
67,Asus,Intel Celeron N4500   1.10GHz,2003.0,Intel UHD Graphics,1476.0,14.0,1600,768,4.0,128.0,Windows 11,1.77,369.99
68,Dell,Intel Core i7 13705H,23728.0,GeForce RTX 3050,12961.0,14.0,1920,1080,16.0,512.0,Windows 11,3.64,1595.38
69,HP,Intel Core i3 1125G4   2.00GHz,9737.0,Intel UHD Graphics,1476.0,17.3,1920,1080,32.0,1024.0,Windows 11,2.09,779.0
70,Lenovo,Intel Core i7 13700H,28003.0,Intel HD Graphics 620,926.0,16.0,1920,1200,16.0,512.0,Windows 10,1.94,1459.0
71,Dell,AMD Ryzen 5 5625U,15084.0,Radeon Ryzen 5 4600GE with Radeon Graphics,1792.0,14.0,1920,1200,32.0,512.0,Windows 11,2.54,675.0
72,Dell,Intel Core i7 12700H,26423.0,GeForce RTX 3050,12961.0,15.6,1920,1200,64.0,2048.0,Windows 10,1.91,2120.08
73,Dell,Intel Core i7 1250U,12421.0,GeForce RTX 2050,7320.0,15.6,1366,768,16.0,4000.0,Windows 11,3.64,2105.07
74,HP,AMD Ryzen 5 5500U,13144.0,Intel UHD Graphics,1476.0,17.3,1920,1080,16.0,1024.0,Windows 11,1.77,726.79
75,HP,AMD Ryzen 5 5500U,13144.0,Radeon Pro Vega 64,12984.0,17.3,1920,1080,16.0,256.0,Windows 10,2.22,699.79
76,Lenovo,AMD Ryzen 7 5825U,18462.0,Ryzen 3 4300G with Radeon Graphics,2040.0,15.6,1920,1080,16.0,1024.0,Windows 11,1.68,949.99
77,Dell,Intel Core i7 1250U,12421.0,Quadro T1000,6608.0,15.6,1920,1200,32.0,1024.0,Windows Pro,2.05,1299.99
78,MSI,Intel Core i7 12700H,26423.0,GeForce RTX 3060,17089.0,15.6,1920,1080,64.0,2048.0,Windows 11,2.22,1539.99
79,Dell,Intel Core i7 1255U,13775.0,Intel Iris Xe,2690.0,15.6,1920,1080,16.0,1024.0,Windows 11,1.77,799.0
