,Name,Operating-System,Processor,GPU,Total-Installed-Memory,Display-Size,Total-Installed-Capacity,Weight,CPU,Price,Brand,Width,Height,Processor_,CPU Mark,GPU Mark
0,"ASUS 13.3"" Zenbook S 13 OLED Laptop (Basalt Gray)",Windows 11 Pro,Intel Core i7-1355U (13th Gen),Intel Iris Xe ,32,13.3,1024,1.0,10-Core: 1.7 to 5 GHz Performance (2 Cores)1.2 to 3.7 GHz Efficiency (8 Cores),1299.99,ASUS,2880,1800,Intel Core i7-1355U (13th Gen),15287.0,1971.0
1,"ASUS 15.6"" Vivobook S 15 OLED Laptop (Midnight Black)",Windows 11 Home,Intel Core i9-13900H (13th Gen),Intel Iris Xe ,16,15.6,1024,1.7,14-Core: 2.6 to 5.4 GHz Performance (6 Cores)1.9 to 4.1 GHz Efficiency (8 Cores),989.99,ASUS,2880,1620,Intel Core i9-13900H (13th Gen),29690.0,1971.0
2,"ASUS 15.6"" Vivobook Laptop (Quiet Blue)",Windows 11 Home,AMD Ryzen 7 7730U,AMD Radeon ,16,15.6,1024,1.7,8-Core: 2 to 4.5 GHz ,699.99,ASUS,1920,1080,AMD Ryzen 7 7730U,18825.0,240.0
3,"ASUS 16"" ProArt StudioBook Pro 16 OLED Multi-Touch Laptop",Windows 11 Pro,Intel Core i9-13980HX (13th Gen),NVIDIA RTX 3000 Ada (130 W TGP)  with 8 GB GDDR6 VRAM,64,16.0,2048,2.4,24-Core: 2.2 to 5.6 GHz Performance (8 Cores)1.6 to 4 GHz Efficiency (16 Cores),2999.99,ASUS,3200,2000,Intel Core i9-13980HX (13th Gen),48083.0,22064.0
4,"Lenovo 15.6"" V15 G4 IAN Laptop (Business Black)",Windows 11 Home,Intel N100,Intel UHD Graphics ,8,15.6,128,1.65,Quad-Core: Up to 3.4 GHz ,367.5,Lenovo,1920,1080,Intel N100,5641.0,324.0
5,"Lenovo 14"" ThinkPad L14 Gen 4 Multi-Touch Notebook",Windows 11 Pro,Intel Core i5-1345U (13th Gen),Intel Iris Xe ,16,14.0,512,1.4,10-Core: 1.6 to 4.7 GHz Performance (2 Cores)1.2 to 3.5 GHz Efficiency (8 Cores),1459.0,Lenovo,1920,1080,Intel Core i5-1345U (13th Gen),15348.0,1971.0
6,"Lenovo 14"" ThinkPad L14 Gen 4 Multi-Touch Notebook",Windows 11 Pro,Intel Core i7-1365U (13th Gen),Intel Iris Xe ,16,14.0,512,1.4,10-Core: 1.8 to 5.2 GHz Performance (2 Cores)1.3 to 3.9 GHz Efficiency (8 Cores),1619.0,Lenovo,1920,1080,Intel Core i7-1365U (13th Gen),15451.0,1971.0
7,"Lenovo 14"" ThinkPad L14 Gen 4 Multi-Touch Notebook",Windows 11 Pro,Intel Core i5-1335U (13th Gen),Intel Iris Xe ,16,14.0,512,1.4,10-Core: 1.3 to 4.6 GHz Performance (2 Cores)0.9 to 3.4 GHz Efficiency (8 Cores),1369.0,Lenovo,1920,1080,Intel Core i5-1335U (13th Gen),16980.0,1971.0
8,"Lenovo 14"" ThinkPad L14 Gen 4 Notebook",Windows 11 Pro,Intel Core i5-1345U (13th Gen),Intel Iris Xe ,16,14.0,256,1.4,10-Core: 1.6 to 4.7 GHz Performance (2 Cores)1.2 to 3.5 GHz Efficiency (8 Cores),1299.0,Lenovo,1920,1080,Intel Core i5-1345U (13th Gen),15348.0,1971.0
9,"Lenovo 14"" ThinkPad L14 Gen 4 Notebook",Windows 11 Pro,Intel Core i5-1335U (13th Gen),Intel Iris Xe ,16,14.0,256,1.4,10-Core: 1.3 to 4.6 GHz Performance (2 Cores)0.9 to 3.4 GHz Efficiency (8 Cores),1199.0,Lenovo,1920,1080,Intel Core i5-1335U (13th Gen),16980.0,1971.0
10,"Lenovo 14"" ThinkPad T14 Gen 4 Multi-Touch Notebook (Storm Gray)",Windows 11 Pro,Intel Core i5-1345U (13th Gen),Intel Iris Xe ,16,14.0,512,1.36,10-Core: 1.6 to 4.7 GHz Performance (2 Cores)1.2 to 3.5 GHz Efficiency (8 Cores),1739.0,Lenovo,1920,1200,Intel Core i5-1345U (13th Gen),15348.0,1971.0
11,"Lenovo 14"" ThinkPad T14 Gen 4 Multi-Touch Notebook (Thunder Black)",Windows 11 Pro,Intel Core i5-1345U (13th Gen),Intel Iris Xe ,16,14.0,512,1.32,10-Core: 1.6 to 4.7 GHz Performance (2 Cores)1.2 to 3.5 GHz Efficiency (8 Cores),1662.12,Lenovo,1920,1200,Intel Core i5-1345U (13th Gen),15348.0,1971.0
