CPU Mark,GPU Mark,Monitor,Width,Height,RAM,Storage Amount,Weight,Price,Brand_Acer,Brand_Apple,Brand_Asus,Brand_Dell,Brand_HP,Brand_LG,Brand_Lenovo,Brand_MSI,Brand_Microsoft,Brand_Other,OS_Other,OS_Windows 10,OS_Windows 11
21368.0,37.0,16.0,1920,1200,16.0,1024.0,2.1,999.0,False,False,False,False,False,False,True,False,False,False,False,False,True
15084.0,1792.0,15.6,1920,1080,16.0,1024.0,1.78,769.0,False,False,False,False,True,False,False,False,False,False,False,False,True
10641.0,926.0,14.0,1920,1080,16.0,256.0,1.93,1599.99,False,False,False,False,False,False,True,False,False,False,False,True,False
24268.0,7320.0,17.3,1920,1080,48.0,2048.0,3.0,1669.0,True,False,False,False,False,False,False,False,False,False,False,False,True
1260.0,926.0,15.6,1920,1080,8.0,256.0,1.51,419.0,False,False,True,False,False,False,False,False,False,False,False,True,False
13775.0,2690.0,15.6,1920,1080,16.0,512.0,2.16,1194.99,False,False,False,False,False,False,True,False,False,False,False,False,True
13775.0,2690.0,15.6,1920,1080,64.0,2048.0,1.68,1864.99,False,False,False,False,True,False,False,False,False,False,False,False,True
23728.0,1476.0,15.6,1920,1080,32.0,1000.0,3.64,1199.0,False,False,False,True,False,False,False,False,False,False,False,False,True
15451.0,2690.0,14.0,1920,1200,16.0,512.0,2.54,2249.99,False,False,False,False,False,False,True,False,False,False,False,False,True
34115.0,19560.0,16.0,2560,1600,32.0,1024.0,2.55,1959.0,False,False,False,False,False,False,True,False,False,False,False,False,True
21133.0,2040.0,16.0,1600,768,12.0,512.0,1.86,599.99,False,False,True,False,False,False,False,False,False,False,False,False,True
12421.0,2438.0,13.3,1920,1080,8.0,256.0,1.64,889.0,False,False,False,True,False,False,False,False,False,False,False,True,False
26423.0,12961.0,16.0,1920,1200,16.0,512.0,1.86,979.99,False,False,False,True,False,False,False,False,False,False,False,True,False
16980.0,1971.0,14.0,1920,1080,16.0,256.0,1.4,1199.0,False,False,False,False,False,False,True,False,False,False,False,True,False
9947.0,15507.0,15.6,1920,1080,16.0,512.0,1.77,2182.99,False,False,True,False,False,False,False,False,False,False,False,True,False
23728.0,17089.0,15.6,1920,1080,64.0,1000.0,3.64,1943.86,False,False,False,True,False,False,False,False,False,False,False,False,True
29690.0,7320.0,16.0,1920,1200,48.0,2048.0,2.16,1909.0,False,False,True,False,False,False,False,False,False,False,False,False,True
18658.0,11706.0,17.3,1920,1080,32.0,1024.0,2.45,1049.99,False,False,False,False,False,False,True,False,False,False,False,True,False
15451.0,2690.0,14.0,1920,1200,16.0,512.0,1.77,965.0,False,False,False,True,False,False,False,False,False,False,False,False,True
3919.0,1476.0,13.3,1920,1080,8.0,128.0,1.75,589.99,False,False,False,False,False,False,False,False,False,True,True,False,False
20247.0,22064.0,14.0,1920,1200,16.0,512.0,1.34,1783.03,False,False,False,False,False,False,True,False,False,False,False,True,False
9491.0,926.0,15.6,1920,1080,32.0,512.0,1.95,569.0,False,False,False,False,False,False,True,False,False,False,False,False,True
17229.0,2690.0,13.4,1920,1200,16.0,512.0,1.7,764.62,False,False,False,False,False,False,False,True,False,False,False,False,True
12012.0,17089.0,15.6,1920,1080,16.0,512.0,2.5,1086.0,True,False,False,False,False,False,False,False,False,False,False,True,False
16506.0,1792.0,15.6,1920,1080,16.0,512.0,1.65,1044.47,False,False,False,False,False,False,False,False,False,True,False,False,True
3828.0,891.0,14.0,1366,768,8.0,256.0,1.53,519.0,False,False,False,False,True,False,False,False,False,False,False,False,True
13775.0,2690.0,14.0,1920,1080,32.0,512.0,1.81,1357.0,False,False,False,True,False,False,False,False,False,False,False,False,True
22681.0,25351.0,15.6,1920,1080,16.0,1024.0,2.3,1699.99,False,False,True,False,False,False,False,False,False,False,False,False,True
17441.0,2690.0,17.3,1920,1080,16.0,512.0,2.09,779.99,False,False,False,False,True,False,False,False,False,False,False,False,True
26423.0,23757.0,15.6,2560,1440,32.0,1024.0,2.38,1859.0,False,False,False,False,False,False,False,True,False,False,False,False,True
21088.0,22064.0,14.0,1920,1200,16.0,512.0,1.34,2099.95,False,False,False,False,False,False,True,False,False,False,False,True,False
23728.0,12961.0,15.6,3840,2160,16.0,1000.0,3.64,2142.39,False,False,False,True,False,False,False,False,False,False,False,False,True
17441.0,12961.0,15.6,1920,1080,8.0,512.0,2.29,660.0,False,False,False,False,True,False,False,False,False,False,False,False,True
