,Brand,Series,CPU,GPU,RAM,Monitor,Resolution,Storage,OS,Weight,Price
0,SAMSUNG,Galaxy Book2 Pro,Intel Core i7,Intel ARC A350M,1 TB,15.6 Inches,1920 x 1080 pixels,1 TB SSD,Windows,2.45 Pounds,1699.99
1,DELL,Inspiron,Intel Intel Core i7 Intel Core i7-12700H 1 GHz,Nvidia,64 GB,16 Inches,3840 x 2160 pixels,1000 GB SSD,Windows 11,4.4 Pounds,1299.99
2,acer,AN515-58-57Y8,Intel Core i5 i5-12500H 4.5 GHz,NVIDIA GeForce RTX 3050 Ti,16 GB,15.6 Inches,1920 x 1080 pixels,512 GB SSD,Windows 11 Home,5.51 Pounds,804.75
3,acer,Nitro 17,AMD AMD Ryzen 7 Ryzen 7 7840HS 5.1 GHz,NVIDIA GeForce RTX 4060,16 GB,17.3 Inches,2560 x 1440 pixels,1 TB SSD,Windows 11 Home,6.61 Pounds,1169.29
4,acer,Acer Chromebook Plus 514 Laptop CB514-3H-R6G5,AMD Ryzen 3 AMD Ryzen 3 7320C 4.1 GHz,AMD Radeon 610M,8 GB,14 Inches,1920 x 1200 pixels,128 GB SSD,Chrome OS,3.2 Pounds,399.99
5,ASUS,ROG Strix G16,Intel Core i7 Intel Core i7-13650HX 4.9 GHz,NVIDIA GeForce RTX 4060,16 GB,16 Inches,1920 x 1200 pixels,512 GB SSD,Windows 11 Home,5.51 Pounds,1249.87
6,ASUS,TUF Gaming F17,AMD Ryzen 7 Ryzen 7 7735HS Mobile 4.7 GHz,AMD Radeon Navi2,16 GB,17.3 Inches,1920 x 1080 pixels,,Windows 11 Home,4.2 Pounds,1099.0
7,HP,Pavilion 15T-EG300,Intel Core i7 Family Intel Core i7-1355U 3.1 GHz,NVIDIA GeForce MX550,64 GB,15.6 Inches,1920 x 1080,4 TB SSD,Windows 10 Pro,,1679.0
8,HP,Pavilion 15-EG300,Intel Core i7 Family Intel Core i7-1355U 2.9 GHz,NVIDIA GeForce MX550,64 GB,15.6 Inches,1920 x 1080,4 TB SSD,Windows 11 Pro,3.9 Pounds,1669.0
9,ASUS,Vivobook Pro 15,AMD Ryzen 9 Ryzen 9 7940HS Mobile 5.2 GHz,NVIDIA GeForce RTX 4060,32 GB,15.6 Inches,1920 x 1080 pixels,1 TB SSD,Windows 11 Home,6.1 Pounds,1199.99
10,GIGABYTE,G5 KF-E3US333SH,Intel Core i5 12500H 4.5 GHz,NVIDIA GeForce RTX 4060,8 GB,15.6,1920 x 1080 pixels,512 GB SSD,Windows 11 Home,4.39 Pounds,749.99
11,acer,PH16-71-74UU,Intel Intel Core i7 i7-13700HX 5 GHz,NVIDIA GeForce RTX 4060,16 GB,16 Inches,2560 x 1600 pixels,1 TB SSD,Windows 11 Home,5.73 Pounds,1199.99
12,HP,Omen 17-CK100,Intel Intel Core i9 Intel Core i9-12900HX 2.9 GHz,NVIDIA GeForce RTX 3080 Ti,32 GB,17.3 Inches,2560 x 1440 pixels,2 TB SSD,Windows 11 Pro,6 Pounds,2619.99
