,Brand,Series,CPU,GPU,RAM,Monitor,Resolution,Storage,OS,Weight,Price
0,acer,A314-23P-R3QA,AMD Ryzen 5 Ryzen 5 7520U 4.3 GHz,AMD,8 GB,14 Inches,1920 x 1080 pixels,512 GB SSD,Windows 11 Home,3.09 Pounds,349.99
1,HP,HP Chromebook,Intel Pentium Intel Processor N200 1 GHz,Intel,8 GB,15.6 Inches,1366 x 768 pixels,64 GB SSD,Chrome OS,3.8 Pounds,309.99
2,acer,Laptop,AMD Ryzen 3 Ryzen 3 7320U 4.1 GHz,AMD Radeon Graphics,8 GB,15.6 Inches,1920 x 1080 pixels,128 GB SSD,Windows 11 S,3.92 Pounds,299.99
3,HP,14-dq0040nr,Intel Celeron N4020 N4020 2.8 GHz,Intel UHD Graphics,4 GB,14 Inches,1366 x 768 pixels,64 GB SSD,Windows 11 S,3.24 Pounds,188.0
4,ASUS,Vivobook Go 14,Intel Celeron Intel Celeron N4020 2.8 GHz,Intel,4 GB,4 Inches,1920 x 1080 pixels,,Windows 11 Home S,2.9 Pounds,158.99
5,acer,A115-32-C96U,Intel Celeron N Celeron N4500 2.8 GHz,Intel UHD Graphics,4 GB,15.6 Inches,1920 x 1080 pixels,128 GB Emmc,Windows 11 S,3.64 Pounds,199.99
6,SAMSUNG,XE530QDA-KA1US,Intel Core i3 Intel Core i3-10110U Processor 2.1 GHz,Intel UHD Graphics,8 GB,13.3,1920 x 1080 pixels,128 GB HDD,Chrome OS,3.8 Pounds,589.99
7,HP,HP Laptop 15-ef2099nr,AMD Ryzen 5 AMD Ryzen™ 5 5500U 4 GHz,AMD Radeon Graphics 5500,8 GB,15.6 Inches,1366 x 768 pixels,256 GB SSD,Windows 11 Home,3.75 Pounds,419.0
8,ASUS,Chromebook CX1,Intel Celeron N3350 2.4 GHz,INTEGRATED,4 GB,15.6 Inches,1920 x 1080 pixels,64 GB SSD,Chrome OS,3.97 Pounds,178.98
9,ASUS,Chromebook CM14,MediaTek MediaTek Helio MT8186G 2.05 GHz,ASUS,4 GB,14 Inches,1366 x 768 pixels,,Chrome OS,,278.9
10,ROKC,,Intel Intel Core i7 Intel Core i7-1165G7 1.2 GHz,Intel,8 GB,14 Inches,1920 x 1080 pixels,1000 GB SSD,Windows 11,3 Pounds,599.99
11,Dell,Inspiron,Intel Core i5 Family 1135G7 2.4 GHz,Intel Iris Xe Graphics,32 GB,15.6 Inches,1920 x 1080 pixels,1 TB SSD,Windows 11 Home,3.7 Pounds,514.99
12,acer,A515-56-347N,Intel Core I3 1115G4 i3-1115G4 4.1 GHz,Intel UHD Graphics,8 GB,15.6 Inches,1920 x 1080 pixels,128 GB SSD,Windows 11 S,3.64 Pounds,299.99
13,acer,A515-56-347N,Intel Core I3 1115G4 i3-1115G4 4.1 GHz,Intel UHD Graphics,8 GB,15.6 Inches,1920 x 1080 pixels,128 GB SSD,Windows 11 S,3.64 Pounds,299.99
14,acer,CB315-3HT,Intel Celeron N4020 Celeron N4020 1.1 GHz,Intel HD Graphics 400,4 GB,15.6 Inches,1920 x 1080 pixels,64 GB SSD,Chrome OS,2.76 Pounds,255.0
15,acer,Swift Go 14,Intel Intel Core i7-1355U i7-1355U 5 GHz,Intel Iris Xe Graphics,16 GB,14 Inches,1920 x 1200 pixels,512 SSD,Windows 11 Home,2.8 Pounds,649.99
16,Lenovo,"Lenovo 14"" Laptop",Intel Pentium Intel Pentium 3 GHz,Intel,4 GB,14 Inches,1366 x 768 pixels,256 GB SSD,Windows 11,4.2 Pounds,179.99
17,HP,TPN-I139_320M3AV,Intel Core i3 Family 1125G4 2 GHz,Intel UHD Graphics,16 GB,17.3 Inches,1600 x 900 pixels,1 TB SSD,Windows 11 Home,4.6 Pounds,515.0
18,ASUS,Vivobook 16,Intel Core i5 I5-1235U 4.4 GHz,Intel UHD Graphics,8 GB,16 Inches,1920 x 1080 pixels,,Windows 11 Home,,522.36
19,ASUS,Vivobook Go 15,AMD Ryzen 5 AMD Ryzen 5 7520U Mobile 4.3 GHz,AMD,8 GB,15.6 Inches,1920 x 1080 pixels,,Windows 11 Home,3.59 Pounds,369.99
20,Dell,Dell Inspiron 15 3525 Laptop,AMD Ryzen 5 5500U 4 GHz,AMD Radeon,32 GB,15.6 Inches,1920 x 1080 pixels,1 TB SSD,Windows 11 Home,3.71 Pounds,535.0
21,LG,16Z90R-K.AAB7U1,Intel Core i7 Intel 13th Gen Core i7 2.2 GHz,Intel Iris,16 GB,16,2560 x 1600 pixels,512 GB SSD,Windows 11 Home,2.6 Pounds,1046.71
22,LG,16Z90R-K.AAB7U1,Intel Core i7 Intel 13th Gen Core i7 2.2 GHz,Intel Iris,16 GB,16,2560 x 1600 pixels,512 GB SSD,Windows 11 Home,2.64 Pounds,1046.71
23,acer,SF314-71-75MW,,Intel Iris Xe Graphics,16 GB,14 Inches,2560 x 1600 pixels,1 TB SSD,Windows 11 Home,3.1 Pounds,1164.32
24,Dell,Inspiron 15 3530,Intel Core i7 Family 1355U 1.2 GHz,Intel Iris Xe Graphics,64 GB,15.6 Inches,1920 x 1080 pixels,2 TB SSD,Windows 11 Home,1.6 Kilograms,940.0
