,Brand,CPU Name,CPU Mark,GPU Name,GPU Mark,Monitor,Width,Height,RAM,Storage Amount,OS,Price,New Weight
0,MSI,Intel Core i7 13620H,26454.0,GeForce RTX 2050,7320.0,15.6,1920.0,1080.0,16384.0,2097152.0,Windows 11,1529.0,3.03
1,Dell,Intel Core i9 12900,34306.0,GeForce RTX 4060,19560.0,15.6,1366.0,768.0,16384.0,4096000.0,Windows 11,2308.81,3.64
2,Dell,Intel Core i5 2310   2.90GHz,3642.0,Intel Arc,4253.0,14.0,1920.0,1080.0,8192.0,262144.0,Windows 10,614.99,1.23
3,Dell,Intel Core i7 1360P,19333.0,Intel Iris Xe,2690.0,16.0,1920.0,1200.0,24576.0,1048576.0,Windows 10,1079.0,1.58
4,Dell,Intel Core i7 13700H,28003.0,Intel Arc A730M,8274.0,15.6,1920.0,1200.0,32768.0,1048576.0,Windows 10,1907.0,1.92
5,Asus,AMD Ryzen 9 7945HX,55651.0,GeForce RTX 4070,26876.0,17.3,2560.0,1400.0,16384.0,1048576.0,Windows 11,1959.99,2.68
6,Lenovo,AMD Ryzen 9 6900HX,24887.0,GeForce RTX 3070,22459.0,16.0,2560.0,1600.0,16384.0,1048576.0,Windows 11,1499.99,2.62
7,Dell,Intel Core i5 3317U   1.70GHz,2010.0,GeForce RTX 3050,12961.0,15.6,1920.0,1080.0,16384.0,524288.0,Windows 11,1038.32,2.55
8,Core Innovations,Intel Celeron N3350   1.10GHz,1108.0,Intel HD Graphics 620,926.0,14.1,1366.0,768.0,3072.0,291840.0,Windows 10,99.0,1.59
9,Acer,AMD Ryzen 5 5625U,15084.0,GeForce RTX 3050,12961.0,15.6,1920.0,1080.0,8192.0,524288.0,Windows 10,729.0,2.14
10,LG,Intel Core i7 1260P,17229.0,Intel Iris Xe,2690.0,16.0,1280.0,800.0,16384.0,524288.0,Windows 11,1249.0,1.18
11,Acer,Intel Core i5 3317U   1.70GHz,2010.0,GeForce RTX 3050,12961.0,17.3,1920.0,1080.0,32768.0,1048576.0,Windows 11,989.0,3.0
12,HP,Intel Core i3 1215U,11027.0,Intel UHD Graphics,1476.0,15.6,1920.0,1080.0,16384.0,1048576.0,Windows 11,446.4,1.64
13,Asus,Intel Core i7 13700H,28003.0,GeForce RTX 4060,19560.0,16.0,1920.0,1200.0,16384.0,2097152.0,Windows 10,1619.0,1.5
14,Lenovo,Intel Celeron 7305,2385.0,Intel UHD Graphics 600,324.0,14.0,1366.0,768.0,4096.0,65536.0,Windows 11,307.62,1.36
15,Dell,Intel Core i7 1165G7   2.80GHz,10346.0,Intel Iris Xe,2690.0,15.6,1920.0,1080.0,65536.0,2097152.0,Windows 11,968.99,1.73
16,Samsung,Intel Core i3 10110U   2.10GHz,3919.0,Intel UHD Graphics,1476.0,13.3,1920.0,1080.0,16384.0,524288.0,ChromeOS,689.99,1.68
17,Dell,Intel Core i7 12800H,24971.0,Intel Arc,4253.0,13.3,1920.0,1080.0,16384.0,524288.0,Windows 10,599.0,1.14
19,Lenovo,Intel Core i7 12650H,23276.0,GeForce GTX 1660,11706.0,15.6,1920.0,1080.0,16384.0,1048576.0,Windows 10,999.0,2.46
20,Dell,Intel Core i7 12800H,24971.0,Intel UHD Graphics,1476.0,14.0,1920.0,1080.0,16384.0,262144.0,Windows 10,727.64,1.23
21,Dell,AMD Ryzen 7 3750H,8185.0,GeForce RTX 3060,17089.0,15.6,1920.0,1080.0,32768.0,1024000.0,Windows 11,2037.24,3.64
22,HP,Intel Core i3 1110G4   1.80GHz,4390.0,Intel UHD Graphics,1476.0,15.6,1920.0,1080.0,32768.0,2097152.0,Windows 11,759.0,3.41
23,HP,Intel Pentium Gold G6405   4.10GHz,4254.0,Intel UHD Graphics,1476.0,15.6,1366.0,768.0,4096.0,262144.0,Windows 10,399.0,3.18
24,HP,Intel Core i3 7350K   4.20GHz,4943.0,Intel Arc,4253.0,17.3,1920.0,1080.0,8192.0,262144.0,MacOS,519.0,2.96
25,GIGABYTE,Intel Core i7 13700H,28003.0,GeForce RTX 4080,34635.0,17.3,1920.0,1080.0,16384.0,1048576.0,Windows 11,1902.2,2.73
26,MSI,Intel Core i5 11400H   2.70GHz,15826.0,GeForce RTX 3050,12961.0,15.6,1920.0,1080.0,8192.0,524288.0,Windows 11,700.64,3.75
27,Acer,Intel Core i5 12450H,17441.0,GeForce RTX 3050,12961.0,17.3,1920.0,1080.0,16384.0,1048576.0,Windows 10,1169.0,3.0
28,Dell,Intel Core i5 4200U   1.60GHz,2187.0,Intel UHD Graphics,1476.0,12.5,1366.0,768.0,16384.0,512000.0,Windows 10,212.98,1.36
29,Asus,Intel Core i7 12700H,26423.0,GeForce RTX 4070,26876.0,15.6,1920.0,1080.0,16384.0,1048576.0,Windows 11,1199.49,2.23
31,Dell,Intel Core i7 12700H,26423.0,GeForce RTX 3070 Ti,23757.0,15.6,2560.0,1440.0,16384.0,524288.0,Windows 11,1599.0,2.68
32,HP,AMD C 30,178.0,Ryzen 3 4300G with Radeon Graphics,2040.0,15.6,1920.0,1080.0,8192.0,262144.0,No OS,379.99,0.46
33,Lenovo,Intel Core i5 11300H   3.10GHz,10984.0,GeForce GTX 1650,7868.0,15.6,1920.0,1080.0,8192.0,1048576.0,Windows 10,969.0,2.25
34,Apple,Apple A8,1536.0,GeForce2 Integrated GPU,4.0,13.3,1920.0,1080.0,8192.0,262144.0,MacOS,862.98,2.28
35,Asus,Intel Core i9 12900H,28523.0,GeForce RTX 3070 Ti,23757.0,15.6,2560.0,1440.0,32768.0,2097152.0,Windows 11,2419.0,2.3
36,Dell,Intel Core i7 13790F,46110.0,Intel UHD Graphics 620,1042.0,14.0,1920.0,1080.0,32768.0,1048576.0,Windows 10,1212.55,1.53
37,Dell,Intel Core i7 12800H,24971.0,Quadro P520,2106.0,15.6,1366.0,768.0,32768.0,1024000.0,Windows 10,1185.02,1.86
38,Dell,Intel Core i9 12900,34306.0,GeForce RTX 4070,26876.0,17.0,1920.0,1200.0,32768.0,1024000.0,Windows 11,2656.49,3.64
39,HP,Intel Core i7 1355U,15287.0,GeForce MX550,4601.0,15.6,1920.0,1080.0,32768.0,1048576.0,Windows 11,1119.0,1.77
40,Dell,Intel Core i7 12700H,26423.0,GeForce RTX 3060,17089.0,15.6,1920.0,1080.0,32768.0,1048576.0,Windows 11,1659.0,2.38
41,Acer,Intel Core i5 12450H,17441.0,GeForce RTX 3050,12961.0,17.3,1920.0,1080.0,16384.0,1048576.0,Windows 10,1169.0,3.0
42,Lenovo,Intel Celeron N4020   1.10GHz,1556.0,Intel UHD Graphics 600,324.0,14.0,1366.0,768.0,4096.0,65536.0,Windows 11,433.32,1.41
43,Lenovo,Intel Core i7 1355U,15287.0,Intel Arc,4253.0,14.0,1920.0,1080.0,16384.0,524288.0,Windows 11,1598.0,1.37
44,Dell,Intel Core i5 1334U,12802.0,Intel UHD Graphics,1476.0,14.0,1366.0,768.0,8192.0,262144.0,Windows 11,889.34,3.64
45,Acer,Intel Core i7 1165G7   2.80GHz,10346.0,Intel Iris Xe,2690.0,15.6,1920.0,1080.0,20480.0,1048576.0,Windows 11,939.51,1.65
46,Acer,AMD Ryzen 7 7840HS,28906.0,GeForce RTX 4060,19560.0,17.3,2560.0,1440.0,16384.0,1048576.0,Windows 11,1169.29,3.0
47,Asus,AMD C 30,178.0,GeForce RTX 2060,14124.0,15.6,1920.0,1080.0,16384.0,524288.0,Windows 10,879.0,2.2
48,Acer,Intel N50,2350.0,Intel Iris Xe,2690.0,15.6,1920.0,1080.0,8192.0,524288.0,Windows 11,699.99,2.57
49,HP,Intel Core i3 1215U,11027.0,Intel UHD Graphics,1476.0,15.6,1920.0,1080.0,16384.0,524288.0,Windows 11,489.0,2.34
50,Acer,Intel Core i5 1240P,17329.0,GeForce RTX 3050,12961.0,15.6,1920.0,1080.0,16384.0,524288.0,Windows 10,769.0,2.1
51,Dell,Intel Core i5 1135G7   2.40GHz,9891.0,Intel Iris Xe,2690.0,14.0,1920.0,1080.0,8192.0,524288.0,Windows 10,714.01,1.4
52,Dell,Intel Core i7 985   3.47GHz,3928.0,RTX A2000,13772.0,16.0,1920.0,1200.0,65536.0,2048000.0,Windows 11,2218.36,2.61
53,Dell,Intel Core i9 12950HX,32933.0,GeForce RTX 3050,12961.0,15.6,1920.0,1200.0,32768.0,1048576.0,Windows 10,2221.03,1.92
54,Panasonic,Intel Core i5 6300U   2.40GHz,3240.0,Intel HD Graphics 620,926.0,12.0,2160.0,1440.0,16384.0,524288.0,Windows 10,860.0,1.66
55,Lenovo,AMD Ryzen 7 5700U,15853.0,Ryzen 3 4300G with Radeon Graphics,2040.0,14.0,1920.0,1080.0,32768.0,2097152.0,Windows 11,919.0,1.41
56,Asus,Intel Celeron 1.70GHz,101.0,Intel HD Graphics 620,926.0,15.6,1366.0,768.0,4096.0,512000.0,Windows 8,318.98,2.36
57,Acer,AMD Ryzen 7 1700,14812.0,Ryzen 3 4300G with Radeon Graphics,2040.0,15.6,1920.0,1080.0,8192.0,524288.0,Windows 11,690.21,2.68
58,HP,Intel Core i3 4010U   1.70GHz,1655.0,Intel UHD Graphics,1476.0,17.3,1920.0,1080.0,8192.0,524288.0,Windows 11,479.0,3.0
59,Dell,Intel Core i7 12700H,26423.0,Intel HD 5000,576.0,14.0,1366.0,768.0,8192.0,262144.0,Windows 10,569.95,3.32
61,Dell,Intel Core i5 1334U,12802.0,GeForce RTX 3050,12961.0,15.6,1920.0,1080.0,65536.0,2048000.0,Windows 10,1252.89,3.64
62,XAMMUE,Intel Core i5 1230U,10779.0,GeForce2 Integrated GPU,4.0,7.0,1920.0,1080.0,16384.0,524288.0,Windows 11,999.99,2.62
63,Dell,Intel Core i5 2310   2.90GHz,3642.0,Intel UHD Graphics,1476.0,15.6,1920.0,1080.0,16384.0,262144.0,Windows 10,882.41,1.59
64,HP,AMD Ryzen 3 5300U,9716.0,Ryzen 3 4300G with Radeon Graphics,2040.0,15.6,1366.0,768.0,32768.0,1048576.0,Windows 11,404.99,1.82
65,Dell,Intel Core i7 11800H   2.30GHz,20753.0,GeForce RTX 3050,12961.0,15.6,1920.0,1200.0,16384.0,2048000.0,Windows 11,2175.99,13.18
66,Lenovo,Intel Core i7 1355U,15287.0,Intel Iris Xe,2690.0,16.0,1920.0,1200.0,16384.0,1048576.0,Windows 10,1259.0,2.05
67,MSI,Intel Core i5 10500H   2.50GHz,11287.0,GeForce RTX 3060,17089.0,15.6,1920.0,1080.0,16384.0,524288.0,Windows 10,1039.0,1.86
68,Acer,AMD Ryzen 7 7735HS,24268.0,GeForce RTX 2050,7320.0,17.3,1920.0,1080.0,32768.0,1048576.0,Windows 10,1499.0,3.0
69,HP,Intel Pentium Silver N5030   1.10GHz,2621.0,Intel Arc,4253.0,15.6,1366.0,768.0,16384.0,1024000.0,Windows 11,459.99,1.77
70,HP,Intel Core i3 8130U   2.20GHz,3591.0,Intel UHD Graphics 620,1042.0,14.0,1366.0,768.0,4096.0,131072.0,Windows 10,439.0,1.43
71,Asus,AMD Ryzen 9 6900HS,23896.0,GeForce RTX 3060,17089.0,15.6,2560.0,1440.0,40960.0,1048576.0,Windows 11,1849.99,1.9
72,Dell,Intel Core i7 13705H,23728.0,GeForce RTX 3070 Ti,23757.0,17.3,2560.0,1440.0,16384.0,1024000.0,Windows 11,2814.29,3.64
73,HP,Intel Core i5 1235U,13554.0,Intel Iris Xe,2690.0,15.6,1920.0,1080.0,32768.0,1048576.0,Windows 11,1099.0,1.76
75,Dell,Intel Core i5 12600H,23062.0,Intel Arc,4253.0,14.0,1920.0,1080.0,8192.0,1048576.0,Windows 10,1664.9,2.7
76,Dell,Intel Core i7 13705H,23728.0,GeForce RTX 3070 Ti,23757.0,15.6,1920.0,1080.0,16384.0,2048000.0,Windows 11,1871.09,3.64
77,MSI,Intel Core i5 12450H,17441.0,GeForce RTX 3050,12961.0,15.6,1920.0,1080.0,16384.0,1048576.0,Windows 11,1329.99,2.73
78,Acer,Intel Core i7 1260P,17229.0,Intel Iris Xe,2690.0,14.0,2560.0,1600.0,16384.0,1048576.0,Windows 11,1401.7,1.23
79,Asus,Intel Core i3 1005G1   1.20GHz,4982.0,Intel UHD Graphics,1476.0,15.6,1920.0,1080.0,4096.0,131072.0,Windows 10,329.0,1.82
