CPU Mark,GPU Mark,Monitor,Width,Height,RAM,Storage Amount,Weight,Encoded_Brand,Price,Encoded_OS
26454,14691,15.6,1920,1080,16.0,2048.0,3.03,23,1529.0,6
34306,19560,15.6,1366,768,16.0,4000.0,3.64,11,2308.81,6
3642,4253,14.0,1920,1080,8.0,256.0,1.23,11,614.99,5
19333,2690,16.0,1920,1200,24.0,1024.0,1.58,11,1079.0,5
28003,8274,15.6,1920,1200,32.0,1024.0,1.92,11,1907.0,5
55651,26876,17.3,2560,1400,16.0,1024.0,2.68,4,1959.99,6
24887,22459,16.0,2560,1600,16.0,1024.0,2.62,21,1499.99,6
2010,12961,15.6,1920,1080,16.0,512.0,2.55,11,1038.32,6
1108,926,14.1,1366,768,3.0,285.0,1.59,9,99.0,5
15084,12961,15.6,1920,1080,8.0,512.0,2.14,1,729.0,5
17229,2690,16.0,1280,800,16.0,512.0,1.18,20,1249.0,6
2010,12961,17.3,1920,1080,32.0,1024.0,3.0,1,989.0,6
11027,1476,15.6,1920,1080,16.0,1024.0,1.64,16,446.4,6
28003,19560,16.0,1920,1200,16.0,2048.0,1.5,4,1619.0,5
2385,324,14.0,1366,768,4.0,64.0,1.36,21,307.62,6
10346,2690,15.6,1920,1080,64.0,2048.0,1.73,11,968.99,6
3919,1476,13.3,1920,1080,16.0,512.0,1.68,31,689.99,0
24971,4253,13.3,1920,1080,16.0,512.0,1.14,11,599.0,5
23276,11706,15.6,1920,1080,16.0,1024.0,2.46,21,999.0,5
24971,1476,14.0,1920,1080,16.0,256.0,1.23,11,727.64,5
8185,17089,15.6,1920,1080,32.0,1000.0,3.64,11,2037.24,6
4390,1476,15.6,1920,1080,32.0,2048.0,3.41,16,759.0,6
4254,1476,15.6,1366,768,4.0,256.0,3.18,16,399.0,5
4943,4253,17.3,1920,1080,8.0,256.0,2.96,16,519.0,2
28003,34635,17.3,1920,1080,16.0,1024.0,2.73,12,1902.2,6
15826,12961,15.6,1920,1080,8.0,512.0,3.75,23,700.64,6
17441,12961,17.3,1920,1080,16.0,1024.0,3.0,1,1169.0,5
2187,1476,12.5,1366,768,16.0,500.0,1.36,11,212.98,5
26423,26876,15.6,1920,1080,16.0,1024.0,2.23,4,1199.49,6
26423,23757,15.6,2560,1440,16.0,512.0,2.68,11,1599.0,6
178,2040,15.6,1920,1080,8.0,256.0,0.46,16,379.99,3
10984,7868,15.6,1920,1080,8.0,1024.0,2.25,21,969.0,5
1536,4,13.3,1920,1080,8.0,256.0,2.28,3,862.98,2
28523,23757,15.6,2560,1440,32.0,2048.0,2.3,4,2419.0,6
46110,1042,14.0,1920,1080,32.0,1024.0,1.53,11,1212.55,5
24971,2106,15.6,1366,768,32.0,1000.0,1.86,11,1185.02,5
34306,26876,17.0,1920,1200,32.0,1000.0,3.64,11,2656.49,6
15287,4601,15.6,1920,1080,32.0,1024.0,1.77,16,1119.0,6
26423,17089,15.6,1920,1080,32.0,1024.0,2.38,11,1659.0,6
