,Brand,CPU Mark,GPU Mark,Monitor,Width,Height,RAM,Storage Amount,OS,Weight,Price,CPU Brand,GPU Brand
0,hp,13144.0,1476.0,17.3,1920,1080,32.0,512.0,Windows 11,1.77,733.5,amd,intel
1,hp,10346.0,2690.0,15.6,1920,1080,12.0,256.0,Windows 11,1.77,886.78,intel,intel
2,hp,6132.0,1476.0,15.6,1920,1080,8.0,256.0,Windows 10,2.0,375.0,intel,intel
3,hp,2028.0,1476.0,12.5,1366,768,8.0,256.0,Windows 10,0.98,209.98,intel,intel
4,hp,29690.0,1449.0,16.0,3840,2400,64.0,2048.0,Windows 11,1.75,4816.61,intel,intel
5,lenovo,16752.0,518.0,13.0,1920,1200,16.0,256.0,Windows 10,1.19,1748.95,amd,radeon
6,asus,16506.0,2040.0,16.0,1920,1200,16.0,512.0,Windows 11,1.88,789.0,amd,ryzen
7,lenovo,9891.0,2690.0,15.6,1920,1080,20.0,1024.0,Windows 11,0.78,604.79,intel,intel
8,acer,8473.0,12961.0,15.6,1920,1080,8.0,512.0,Windows 11,1.68,929.0,intel,geforce
9,lenovo,15853.0,1792.0,14.0,1920,1080,24.0,512.0,Windows 11,1.88,699.0,amd,radeon
10,hp,27476.0,22064.0,15.6,1920,1080,32.0,1024.0,Windows 10,2.01,2714.26,intel,nvidia
11,dell,23728.0,12961.0,15.6,3840,2160,32.0,1000.0,Windows 11,3.64,2218.62,intel,geforce
12,dell,32140.0,7320.0,15.6,1920,1080,32.0,2048.0,Windows 10,2.64,1489.0,intel,geforce
13,hp,9737.0,4253.0,17.3,1600,900,32.0,1000.0,Windows 11,2.09,619.99,intel,intel
14,hp,7460.0,926.0,14.0,1920,1080,8.0,512.0,Windows 10,1.77,628.79,intel,intel
15,lg,19333.0,12961.0,16.0,2560,1600,32.0,1024.0,Windows 11,1.3,1899.0,intel,geforce
16,dell,10552.0,2690.0,14.0,2560,1600,16.0,1024.0,Windows 11,1.4,1399.0,intel,intel
17,lenovo,44977.0,26876.0,16.0,2560,1600,16.0,1024.0,Windows 11,2.55,2329.0,intel,geforce
18,hp,16506.0,1792.0,14.0,1920,1080,8.0,256.0,Windows 11,1.6,1149.0,amd,radeon
19,dell,32140.0,7320.0,15.6,1920,1080,64.0,2048.0,Windows 11,1.39,1689.0,intel,geforce
20,hp,14323.0,1971.0,14.0,1920,1080,16.0,256.0,Windows 10,1.69,954.5,intel,intel
21,hp,3855.0,2040.0,14.0,1360,768,8.0,128.0,Windows 10,1.47,299.0,amd,ryzen
22,asus,21384.0,389.0,14.0,1366,768,4.0,500.0,Windows 7,2.3,999.0,intel,geforce
23,hp,9891.0,926.0,15.6,1920,1080,8.0,256.0,Windows 11,1.77,489.19,intel,intel
24,hp,4982.0,1476.0,15.6,1920,1080,16.0,256.0,Windows 10,2.22,479.79,intel,intel
25,asus,9891.0,2690.0,15.6,1920,1080,8.0,512.0,Windows 10,1.82,529.0,intel,intel
26,lenovo,6132.0,926.0,15.6,1366,768,8.0,256.0,Windows 11,2.22,429.99,intel,intel
27,asus,26423.0,2690.0,15.6,1920,1080,16.0,512.0,Windows 10,1.8,1049.0,intel,intel
28,dell,8185.0,27324.0,17.3,1920,1080,64.0,4000.0,Windows 11,3.64,2598.74,amd,geforce
29,dell,12421.0,12961.0,16.0,1366,768,16.0,512.0,Windows 11,2.45,1143.44,intel,geforce
30,acer,9891.0,2690.0,14.0,1920,1080,16.0,512.0,Windows 11,1.62,712.99,intel,intel
31,lenovo,11027.0,1476.0,15.6,1920,1080,24.0,1024.0,Windows 11,1.63,649.0,intel,intel
32,dell,13707.0,2690.0,13.3,2560,1600,32.0,512.0,Windows 11,1.18,2171.52,intel,intel
33,dell,24971.0,4253.0,15.0,1920,1080,16.0,512.0,Windows 10,1.41,970.19,intel,intel
34,dell,3122.0,25351.0,17.3,1920,1080,64.0,1000.0,Windows 11,1.34,2462.15,intel,geforce
35,lenovo,48083.0,22064.0,16.0,2560,1600,32.0,1024.0,Windows 10,2.9,3769.66,intel,nvidia
36,asus,2595.0,1476.0,11.6,1366,768,8.0,128.0,Windows 11,1.73,555.98,intel,intel
38,asus,55651.0,38874.0,16.0,1920,1080,64.0,4096.0,Windows 11,2.68,4729.0,amd,geforce
39,asus,10641.0,4.0,14.0,1920,1080,8.0,128.0,Chrome OS,2.64,810.72,intel,geforce2
40,msi,11045.0,2690.0,14.0,1920,1080,32.0,1024.0,Windows 10,1.29,949.0,intel,intel
41,lenovo,28003.0,14691.0,15.6,1920,1080,16.0,512.0,Windows 10,0.45,999.99,intel,geforce
42,lenovo,15853.0,1792.0,15.6,1920,1080,16.0,512.0,Windows 11,1.8,829.99,amd,radeon
43,dell,23276.0,2690.0,15.6,1920,1080,16.0,512.0,Windows 11,1.65,779.49,intel,intel
44,hp,125.0,324.0,14.0,1920,1080,4.0,32.0,Chrome OS,1.8,316.0,intel,intel
45,microsoft,10779.0,4253.0,14.4,2560,1600,16.0,512.0,Windows 10,1.67,1388.99,intel,intel
46,dell,20843.0,22064.0,14.0,1920,1080,16.0,512.0,Windows 10,1.39,1464.95,intel,nvidia
47,msi,17229.0,17089.0,15.6,1920,1080,64.0,2048.0,Windows 11,1.82,1815.0,intel,geforce
48,acer,10552.0,926.0,14.0,1920,1200,16.0,1024.0,Windows 10,1.59,1478.99,intel,intel
49,dell,9891.0,926.0,14.0,1920,1080,8.0,256.0,Windows 11,1.77,699.99,intel,intel
50,hp,13144.0,37.0,17.3,1920,1080,16.0,512.0,Windows 10,1.75,529.99,amd,radeon
51,lenovo,24971.0,926.0,17.3,3840,2160,16.0,512.0,Windows 10,2.17,3849.0,intel,intel
52,hp,19333.0,2690.0,14.0,1920,1080,16.0,512.0,Windows 11,1.72,1360.65,intel,intel
54,acer,15287.0,2690.0,15.6,1920,1080,16.0,512.0,Windows 11,1.78,799.99,intel,intel
55,asus,55651.0,26876.0,17.3,2560,1440,32.0,1024.0,Windows 11,2.8,2379.0,amd,geforce
56,dell,23062.0,4253.0,15.6,1920,1080,16.0,512.0,Windows 10,1.45,1303.62,intel,intel
57,acer,7459.0,6308.0,15.6,1920,1080,8.0,256.0,Windows 10,2.7,719.0,intel,geforce
58,panasonic,21088.0,1971.0,14.0,1920,1080,16.0,512.0,Windows 10,2.2,4123.95,intel,intel
59,dell,13775.0,6020.0,16.0,1920,1200,16.0,512.0,Windows 10,1.87,1299.0,intel,geforce
60,hp,15287.0,1971.0,15.6,1920,1080,16.0,256.0,Windows 10,1.79,1989.312760603882,intel,intel
61,apple,18877.0,2152.0,14.2,3024,1964,16.0,1024.0,MacOS,1.5,1999.0,apple,intel
62,lenovo,9891.0,1476.0,14.0,1920,1080,8.0,256.0,Windows 10,0.45,706.09,intel,intel
63,lenovo,28003.0,22064.0,16.0,1920,1200,16.0,1024.0,Windows 10,2.2,2289.95,intel,nvidia
64,hp,1108.0,333.0,14.0,1920,1080,8.0,32.0,Chrome OS,1.55,244.0,intel,radeon
65,lg,10346.0,2690.0,16.0,2560,1600,16.0,2048.0,Windows 11,1.5,1239.0,intel,intel
66,asus,21525.0,2690.0,15.6,1920,1080,8.0,512.0,Windows 11,1.55,914.99,intel,intel
67,samsung,20247.0,4253.0,13.3,1920,1080,16.0,256.0,Windows 11,1.18,1255.81,intel,intel
68,lenovo,32744.0,13772.0,16.0,3840,2400,16.0,512.0,Windows 11,2.95,1899.0,intel,rtx
69,dell,15084.0,1792.0,15.6,1920,1080,8.0,256.0,Windows 11,2.54,599.0,amd,radeon
70,lenovo,29690.0,22064.0,16.0,2560,1600,16.0,512.0,Windows 10,1.86,2984.5,intel,nvidia
71,dell,21493.0,926.0,14.0,1920,1080,16.0,256.0,Windows 11,1.55,1202.54,intel,intel
72,msi,24268.0,19560.0,17.3,1920,1080,32.0,1024.0,Windows 11,3.85,1499.0,amd,geforce
73,dell,23276.0,3708.0,15.6,1366,768,8.0,512.0,Windows 11,2.98,1097.24,intel,t500
74,msi,8185.0,7868.0,15.6,1920,1080,8.0,256.0,Windows 10,1.86,629.0,intel,geforce
75,apple,15398.0,2152.0,13.6,2560,1664,8.0,2048.0,MacOS,1.24,1999.0,apple,intel
76,asus,30837.0,17089.0,14.0,1920,1080,16.0,1024.0,Windows 10,1.67,1686.99,amd,geforce
77,acer,2003.0,926.0,14.0,1366,768,4.0,32.0,Windows 11,1.27,250.66,intel,intel
78,dell,16980.0,2690.0,15.6,1920,1080,16.0,256.0,Windows 11,2.0,1278.99,intel,intel
79,dell,23276.0,1449.0,15.6,1920,1080,16.0,1024.0,Windows 11,1.64,819.97,intel,intel
80,apple,23805.0,6010.0,16.2,3456,2234,18.0,512.0,MacOS,2.1,2299.0,apple,intel
81,msi,26423.0,22459.0,15.6,1920,1080,24.0,1024.0,Windows 11,2.25,1639.0,intel,geforce
82,msi,48083.0,34635.0,17.0,2560,1600,64.0,2048.0,Windows 11,3.1,3533.21,intel,geforce
83,dell,3122.0,12961.0,15.6,1920,1200,32.0,512.0,Windows 11,1.92,2140.18,intel,geforce
84,apple,15398.0,2152.0,15.3,2880,1864,24.0,2048.0,MacOS,1.5,2499.0,apple,intel
85,lenovo,6026.0,1402.0,14.0,1920,1080,16.0,1024.0,Windows 10,1.77,1069.99,intel,radeon
86,asus,26454.0,12961.0,15.6,1920,1080,16.0,4096.0,Windows 11,1.8,1529.99,intel,geforce
88,dell,2426.0,1476.0,15.6,1366,768,8.0,128.0,Windows 10,2.68,433.99,intel,intel
89,lenovo,15348.0,1971.0,15.6,1920,1080,16.0,512.0,Windows 10,1.77,1422.57,intel,intel
90,lenovo,29690.0,22064.0,16.0,2560,1600,32.0,1024.0,Windows 10,1.86,3246.5,intel,nvidia
91,dell,16980.0,1971.0,14.0,1920,1080,8.0,256.0,Windows 10,1.55,708.53,intel,intel
92,dell,23728.0,12961.0,17.0,3840,2160,32.0,2000.0,Windows 11,3.64,2508.7,intel,geforce
93,asus,55651.0,34635.0,16.0,1920,1080,32.0,1024.0,Windows 11,2.67,3499.99,amd,geforce
95,acer,23284.0,5051.0,15.6,1920,1080,12.0,256.0,Windows 10,1.63,856.99,intel,geforce
96,lenovo,10641.0,926.0,13.3,1920,1080,8.0,128.0,Windows 10,1.77,899.99,intel,intel
97,hp,13144.0,1792.0,17.3,1920,1080,8.0,256.0,Windows 11,1.64,668.79,amd,radeon
98,hp,15287.0,2690.0,15.6,1920,1080,16.0,512.0,Windows 11,2.22,928.29,intel,intel
99,dell,28523.0,22459.0,16.0,2560,1600,64.0,2048.0,Windows 11,2.27,2269.0,intel,geforce
100,dell,6132.0,1476.0,15.6,1920,1080,8.0,128.0,Windows 11,2.68,349.99,intel,intel
101,lenovo,13446.0,1476.0,14.0,1920,1080,16.0,512.0,Windows 10,1.59,669.0,amd,intel
102,dell,32140.0,7320.0,15.6,1920,1080,8.0,1024.0,Windows 11,1.27,1219.0,intel,geforce
103,dell,20753.0,85.0,17.0,1920,1200,32.0,1024.0,Windows 11,2.09,1946.99,intel,quadro
104,apple,15398.0,2152.0,13.6,2560,1664,24.0,2048.0,MacOS,1.24,2399.0,apple,intel
105,lenovo,10552.0,3708.0,14.0,1920,1080,24.0,512.0,Windows 11,1.39,1039.99,intel,t500
106,dell,13775.0,2690.0,14.0,1920,1080,64.0,2048.0,Windows 10,1.55,1549.99,intel,intel
107,lenovo,9891.0,2690.0,15.6,1920,1080,36.0,2048.0,Windows 11,1.6,650.0,intel,intel
108,dell,26423.0,12961.0,15.6,1920,1200,32.0,2048.0,Windows 11,1.92,2011.51,intel,geforce
109,hp,16506.0,2040.0,17.3,1600,900,12.0,1024.0,Windows 10,2.18,669.0,amd,ryzen
110,lenovo,18753.0,12961.0,15.6,1920,1080,8.0,1024.0,Windows 11,2.22,739.99,intel,geforce
112,apple,15398.0,1722.0,13.6,2560,1664,24.0,1024.0,MacOS,1.24,1899.0,apple,radeon
113,lenovo,37546.0,2690.0,16.0,2560,1600,16.0,1024.0,Windows 11,2.09,768.0,intel,intel
114,lg,20247.0,1971.0,16.0,2560,1600,16.0,512.0,Windows 10,1.2,1299.0,intel,intel
115,msi,17441.0,7320.0,15.6,1920,1080,16.0,512.0,Windows 11,1.98,787.99,intel,geforce
116,acer,24971.0,12961.0,15.6,1920,1080,32.0,512.0,Windows 11,2.22,1099.79,intel,geforce
117,apple,35380.0,13357.0,16.2,3456,2234,64.0,1024.0,MacOS,2.2,4199.0,apple,intel
118,apple,35380.0,10018.0,14.2,3024,1964,36.0,2048.0,MacOS,1.6,3599.0,apple,intel
119,dell,29690.0,26876.0,17.0,3840,2400,64.0,2048.0,Windows 11,0.76,3503.99,intel,geforce
120,hp,3855.0,1476.0,15.6,1366,768,32.0,1024.0,Windows 10,1.77,699.79,amd,intel
121,hp,5641.0,324.0,11.6,1366,768,4.0,128.0,Windows 10,1.47,474.95,intel,intel
122,apple,35380.0,13357.0,16.2,3456,2234,128.0,512.0,MacOS,2.2,4799.0,apple,intel
123,hp,17441.0,7868.0,15.0,1366,768,8.0,512.0,Windows 10,2.41,590.22,intel,geforce
124,lg,19333.0,2690.0,16.0,2560,1600,16.0,512.0,Windows 11,2.22,1089.49,intel,intel
125,dell,15287.0,4253.0,15.6,1920,1080,32.0,1000.0,Windows 11,1.64,949.99,intel,intel
126,hp,9891.0,926.0,15.6,1920,1080,16.0,1024.0,Windows 10,1.77,558.97,intel,intel
127,dell,10936.0,7868.0,15.6,3840,2160,16.0,1024.0,Windows 10,2.5,1999.0,intel,geforce
128,lenovo,32933.0,13772.0,15.6,1920,1080,16.0,1024.0,Windows 11,2.18,4259.0,intel,rtx
129,dell,16980.0,1971.0,14.0,1920,1080,16.0,512.0,Windows 10,1.39,1169.95,intel,intel
130,hp,13775.0,2690.0,17.3,1920,1080,32.0,1024.0,Windows 11,2.27,1053.39,intel,intel
131,asus,4982.0,1476.0,15.6,1920,1080,20.0,512.0,Windows 11,1.95,607.99,intel,intel
132,msi,17441.0,14691.0,15.6,1920,1080,16.0,512.0,Windows 10,0.79,969.99,intel,geforce
133,apple,35380.0,13357.0,14.2,3024,1964,64.0,512.0,MacOS,1.6,3699.0,apple,intel
134,dell,10346.0,2690.0,15.6,1920,1080,8.0,1024.0,Windows 11,1.77,699.99,intel,intel
135,msi,5769.0,1476.0,15.6,1920,1080,16.0,1024.0,Windows 11,1.6,1687.99,intel,intel
136,acer,28003.0,2690.0,14.0,1920,1200,16.0,1024.0,Windows 11,1.76,1259.0,intel,intel
137,dell,12802.0,1476.0,15.6,1920,1080,8.0,256.0,Windows 11,3.64,923.99,intel,intel
138,acer,23276.0,19560.0,15.6,1920,1080,16.0,512.0,Windows 11,2.5,994.99,intel,geforce
139,microsoft,10552.0,2690.0,13.5,1920,1080,16.0,512.0,Windows 11,1.97,1169.99,intel,intel
140,lenovo,18825.0,240.0,16.0,1920,1200,16.0,512.0,Windows 10,1.97,919.95,amd,radeon
141,dell,15451.0,2690.0,14.0,1920,1080,16.0,256.0,Windows 10,1.39,1284.95,intel,intel
142,other,28085.0,12961.0,15.6,1920,1200,64.0,8192.0,Windows 11,2.05,5999.0,intel,geforce
143,microsoft,27476.0,22064.0,14.4,2400,1600,64.0,2048.0,Windows 10,1.98,4463.5,intel,nvidia
144,dell,48083.0,13772.0,17.0,3840,2160,32.0,1000.0,Windows 10,3.64,2954.7,intel,rtx
145,acer,7186.0,1481.0,15.6,1920,1080,16.0,1024.0,Windows 11,1.93,589.99,amd,radeon
146,dell,2350.0,12961.0,16.0,1920,1200,24.0,1024.0,Windows 10,1.8,1163.08,intel,geforce
147,apple,15398.0,2152.0,15.3,2880,1864,24.0,512.0,MacOS,1.5,1899.0,apple,intel
148,lenovo,20851.0,1792.0,16.0,1920,1200,32.0,1024.0,Windows 11,1.48,2008.99,amd,radeon
149,dell,3928.0,13772.0,16.0,1920,1200,32.0,2000.0,Windows 11,2.61,2218.36,intel,rtx
150,dell,7460.0,1476.0,15.6,1920,1080,16.0,1024.0,Windows 11,1.77,598.79,intel,intel
151,asus,3310.0,1476.0,11.6,1366,768,4.0,32.0,Chrome OS,1.77,167.62,intel,intel
152,asus,48083.0,19560.0,16.0,3200,2000,16.0,1024.0,Windows 11,2.0,1699.99,intel,geforce
153,dell,24971.0,1476.0,14.0,1920,1080,8.0,1000.0,Windows 10,1.38,805.02,intel,intel
154,dell,3122.0,12961.0,17.3,1920,1200,8.0,8192.0,Windows 11,2.73,3663.65,intel,geforce
156,hp,13144.0,1792.0,15.6,1920,1080,8.0,256.0,Windows 11,2.0,535.0,amd,radeon
157,acer,3828.0,891.0,15.6,1920,1080,16.0,512.0,Windows 11,1.82,599.0,amd,radeon
158,asus,1556.0,324.0,11.6,1366,768,4.0,64.0,Windows 10,1.05,194.99,intel,intel
159,acer,28906.0,19560.0,16.0,1920,1200,16.0,512.0,Windows 11,2.7,1049.99,amd,geforce
160,hp,9891.0,926.0,17.3,1600,900,32.0,1024.0,Windows 11,1.61,829.0,intel,intel
161,dell,15287.0,1971.0,15.6,1920,1080,16.0,256.0,Windows 10,1.81,839.99,intel,intel
162,asus,22681.0,22459.0,15.6,1920,1080,16.0,1024.0,Windows 10,2.32,1989.95,amd,geforce
163,apple,15398.0,2152.0,13.6,2560,1664,8.0,1024.0,MacOS,1.24,1599.0,apple,intel
164,asus,24268.0,19560.0,17.3,1920,1080,16.0,1024.0,Windows 11,1.52,1849.99,amd,geforce
165,samsung,15287.0,1971.0,15.6,1920,1080,16.0,512.0,Windows 10,1.57,1099.99,intel,intel
166,lenovo,16980.0,2690.0,16.0,1920,1200,16.0,512.0,Windows 11,0.92,891.41,intel,intel
167,lenovo,17229.0,2690.0,13.3,2560,1600,16.0,1024.0,Windows 11,1.0,916.99,intel,intel
168,lenovo,9891.0,2690.0,15.6,1920,1080,8.0,512.0,Windows 11,1.76,495.0,intel,intel
169,hp,44977.0,38874.0,17.3,2560,1440,64.0,4096.0,Windows 11,2.8,4019.0,intel,geforce
170,lenovo,10936.0,14124.0,17.3,1920,1080,16.0,1024.0,Windows 10,0.45,2079.74,intel,geforce
171,asus,23896.0,10181.0,13.4,1920,1200,16.0,1024.0,Windows 11,2.56,1099.0,amd,geforce
172,hp,28003.0,2690.0,17.3,1920,1080,32.0,1024.0,Windows 10,2.38,1519.0,intel,intel
173,lenovo,6132.0,1476.0,15.6,1920,1080,24.0,1024.0,Windows 11,1.9,499.99,intel,intel
174,lenovo,13775.0,2690.0,15.6,1920,1080,16.0,512.0,Windows 11,1.8,1114.99,intel,intel
175,lenovo,28003.0,19560.0,16.0,2560,1600,16.0,512.0,Windows 10,2.2,1806.49,intel,geforce
176,hp,9891.0,926.0,15.6,1920,1080,16.0,512.0,Windows 11,1.77,518.76,intel,intel
177,hp,20753.0,17089.0,16.1,1920,1080,64.0,1024.0,Windows 11,2.32,1719.0,intel,geforce
178,dell,23728.0,12961.0,16.0,1920,1200,8.0,512.0,Windows 11,2.03,1156.55,intel,geforce
179,dell,13775.0,2690.0,14.0,1920,1200,16.0,512.0,Windows 11,1.47,765.0,intel,intel
180,dell,15451.0,1971.0,16.0,1920,1200,16.0,512.0,Windows 10,1.84,1689.5,intel,intel
181,lenovo,9891.0,926.0,14.0,1920,1080,8.0,256.0,Windows 10,1.77,899.0,intel,intel
182,microsoft,9891.0,926.0,13.0,2880,1920,16.0,256.0,Windows 10,0.89,1719.99,intel,intel
183,dell,15451.0,1971.0,16.0,1920,1200,16.0,512.0,Windows 10,1.84,1689.5,intel,intel
184,samsung,1326.0,1476.0,13.3,3840,2160,8.0,256.0,Chrome OS,1.17,624.7,intel,intel
185,hp,15451.0,2690.0,14.0,1920,1200,16.0,512.0,Windows 11,2.14,2036.96,intel,intel
186,hp,16980.0,1476.0,13.3,1920,1080,8.0,256.0,Windows 11,1.22,1113.11,intel,intel
187,hp,3855.0,1476.0,15.6,1366,768,16.0,1024.0,Windows 11,1.77,645.0,amd,intel
188,asus,1108.0,926.0,11.6,1366,768,4.0,128.0,Windows 10,1.27,342.0,intel,intel
